             UB              LB           Time(s)
            872             528               0.7
            872             557               1.6
            872             567               2.4
            872             568               2.7
            872             580               4.2
            872             582               4.6
            872             586               5.8
            872             587               6.1
            872             588               6.8
            872             590               7.5
            872             592               8.3
            872             593               8.6
            872             594               9.7
            872             595              10.0
            872             596              10.5
            872             597              12.1
            872             598              12.5
            872             599              13.0
            872             600              13.8
            872             601              14.3
            872             602              15.7
            872             603              16.7
            872             604              17.5
            872             608              29.4
            872             609              31.8
            872             610              33.0
            872             611              33.9
            872             612              34.6
            872             613              35.4
            872             614              37.5
            872             616              38.2
            872             617              39.4
            872             618              40.0
            872             619              40.8
            847             619              64.9
            847             624              66.9
            847             627              67.9
            847             633              98.6
            847             634             150.1
            847             635             151.5
            847             637             151.9
            847             641             197.0
            839             641             197.6
            839             645             231.8
            813             645             243.0
            813             647             250.3
            813             649             254.2
            813             651             258.9
            813             652             260.6
            813             653             273.7
            813             654             277.5
            813             655             306.3
            813             656             309.8
            813             657             342.5
            813             658             363.3
            813             659             365.1
            813             660             374.5
            813             661             399.2
            808             661             407.3
            808             662             417.8
            808             663             424.9
            807             663             444.1
            805             663             456.7
            805             664             466.4
            805             665             483.6
            805             666             496.0
            802             666             539.0
            801             666             539.0
            801             667             542.6
            801             668             563.4
            801             669             605.4
            801             670             621.3
            797             670             627.0
            796             670             627.0
            782             670             649.4
            782             671             652.0
            782             672             669.7
            782             673             690.2
            777             673             699.7
            777             674             708.2
            777             675             726.6
            777             676             738.5
            763             676             752.9
            763             677             762.0
            761             677             778.2
            761             678             783.6
            761             679             797.7
            761             680             814.2
            761             681             842.1
            757             681             856.9
            757             682             857.4
            755             682             886.0
            750             682             901.8
            750             683             905.6
            750             684             928.2
            750             685             958.9
            750             686             973.7
            750             687            1002.4
            750             688            1049.7
            750             689            1088.7
            750             690            1115.6
            750             691            1155.0
            750             692            1175.9
            750             693            1232.3
            750             694            1259.2
            750             695            1272.8
            750             696            1323.0
            750             697            1386.9
            750             698            1424.2
            750             699            1726.3
            750             700            1764.5
            750             701            1805.9
            750             702            1845.8
            750             703            1878.4
            750             704            1929.8
            750             705            1977.0
            750             706            1997.7
            750             707            2033.1
            750             708            2055.3
            750             709            2090.3
            750             710            2113.8
            750             711            2138.8
            750             712            2170.3
            750             713            2197.7
            750             714            2223.6
            750             715            2239.0
            750             716            2267.4
            750             717            2307.8
            750             718            2340.5
            750             719            2369.5
            750             720            2390.2
            750             721            2425.5
            750             722            2444.7
            750             723            2467.3
            750             724            2487.0
            750             725            2510.1
            750             726            2526.2
            750             727            2537.6
            750             728            2555.7
            750             729            2573.5
            750             730            2587.5
            750             731            2601.0
            750             732            2616.7
            750             733            2631.7
            750             734            2641.6
            750             735            2655.5
            750             736            2666.7
            750             737            2672.3
            750             738            2676.0
            750             739            2687.1
            750             740            2691.2
            750             741            2694.3
            750             742            2699.2
            750             743            2702.6
            750             744            2706.1
            750             745            2707.9
            750             746            2709.2
            750             747            2711.6
            750             748            2712.8
            749             748            2713.6
            749             749            2713.7

../solutions/ILP1/R06_10_02_01         749.000             749             749             737              12         0.00000        2713.667               1

