             UB              LB           Time(s)
            801             507               0.4
            801             541               1.1
            801             553               1.7
            801             554               1.8
            801             572               2.7
            801             573               2.9
            801             579               3.8
            801             583               4.3
            801             584               4.8
            801             585               4.9
            801             586               5.2
            801             587               5.5
            801             592               6.0
            801             593               6.4
            801             594               6.7
            801             595              10.3
            801             599              11.1
            801             601              11.9
            801             602              12.0
            801             603              16.0
            801             609              17.4
            801             612              18.7
            801             614              19.3
            801             619              20.1
            801             626              20.6
            801             627              28.1
            801             628              34.9
            801             630              42.5
            801             631              49.6
            801             635              65.3
            801             636              68.1
            787             636             119.5
            786             636             167.2
            786             638             191.6
            786             639             195.1
            766             639             197.3
            766             640             199.0
            761             640             209.6
            761             641             210.9
            761             642             225.9
            761             643             236.7
            761             644             240.3
            761             645             245.0
            761             646             260.6
            761             647             277.9
            761             648             283.8
            761             649             302.4
            761             650             305.3
            761             651             313.2
            761             652             315.5
            761             653             327.1
            761             654             351.2
            761             655             360.0
            761             656             366.3
            761             657             380.3
            761             658             394.9
            761             659             415.0
            761             660             437.9
            761             661             449.9
            761             662             468.6
            761             663             475.8
            761             664             486.8
            761             665             500.6
            761             666             516.5
            761             667             531.9
            761             668             556.3
            761             669             572.9
            761             670             591.5
            761             671             604.0
            761             672             640.7
            761             673             666.9
            761             674             680.2
            761             675             705.6
            761             676             736.3
            761             677             744.2
            761             678             760.4
            761             679             786.0
            761             680             811.2
            761             681             832.2
            761             682             863.5
            761             683             881.1
            761             684             896.0
            761             685             920.1
            761             686             964.7
            761             687             997.5
            761             688            1027.3
            761             689            1078.4
            761             690            1103.3
            761             691            1140.4
            761             692            1176.6
            761             693            1204.1
            761             695            1742.7
            761             697            1746.4
            761             698            1759.7
            761             699            1765.9
            761             700            1775.9
            761             701            1783.8
            761             702            1788.3
            761             703            1803.8
            761             704            1822.4
            761             706            1829.3
            761             707            1846.9
            761             709            1853.4
            761             710            1865.7
            761             711            1885.0
            761             712            1897.2
            761             713            1902.2
            761             714            1907.8
            761             715            1916.8
            761             716            1935.7
            761             717            1957.7
            761             718            1976.3
            761             719            1997.7
            761             720            2010.8
            761             721            2038.4
            761             722            2067.9
            761             723            2101.4
            761             724            2127.2
            761             725            2150.8
            761             726            2195.5
            761             727            2233.1
            761             728            2278.6
            761             729            2330.5
            761             730            2364.7
            761             731            2417.0
            761             732            2481.8
            761             733            2517.6
            761             734            2572.6
            761             735            2619.2
            761             736            2682.1
            761             737            2720.5
            761             738            2763.3
            761             739            2812.0
            761             740            2858.0
            761             741            2906.1
            761             742            2952.7
            761             743            2995.8
            761             744            3046.4
            761             745            3088.0
            761             746            3122.6
            761             747            3159.3
            761             748            3185.8
            761             749            3211.8
            761             750            3229.6
            761             751            3250.2
            761             752            3265.0
            761             753            3276.1
            761             754            3285.3
            761             755            3291.5
            761             756            3296.1
            761             757            3298.7
            761             758            3300.9
            761             759            3302.0
            761             760            3302.6
            761             761            3302.9

../solutions/ILP1/R06_08_05_20         761.000             761             761             701               3         0.00000        3302.939               1

