             UB              LB           Time(s)
            495              -9               0.1
            495             377               0.1
            495             391               0.2
            495             407               0.2
            495             409               0.2
            495             416               0.3
            495             417               0.3
            495             419               0.4
            446             419               0.4
            446             420               0.4
            446             421               0.4
            430             421               0.6
            430             430               0.6

../solutions/ILP1/R07_06_03_00         430.000             430             430             430              18         0.00000           0.561               1

