             UB              LB           Time(s)
           1199             638             161.8
           1199             675             293.2
           1199             678             337.5
           1199             690             440.6
           1199             691             465.9
           1199             692             488.5
           1199             705             649.9
           1199             706             692.0
           1199             711             847.6
           1199             712             899.2
           1199             713             970.9
           1199             714            1067.7
           1199             715            1114.3
           1199             716            1229.2
           1199             717            1316.0
           1199             718            1453.4
           1199             719            1549.6
           1199             720            1670.3
           1199             721            1807.6
           1199             722            1929.2
           1199             723            2087.8
           1199             724            2162.1
           1199             725            2260.6
           1199             726            3374.1

../solutions/ILP1/R08_20_02_20         725.209             726            1199            1199               0         0.39450        3600.233               0

