             UB              LB           Time(s)
            557             369               0.3
            557             393               0.7
            557             401               0.9
            557             409               1.3
            557             410               1.4
            557             412               1.7
            557             413               1.7
            557             415               2.0
            557             416               2.2
            557             417               2.4
            557             418               2.7
            557             419               4.2
            557             421               4.5
            557             422               5.1
            557             423               5.3
            557             424               5.4
            537             424               5.8
            531             424               6.4
            531             428               7.4
            531             432               9.5
            514             432              10.0
            514             433              10.2
            514             434              10.9
            514             435              11.4
            514             436              11.4
            514             438              11.8
            514             439              12.8
            514             440              13.3
            502             440              13.4
            502             441              13.7
            496             441              13.9
            496             443              14.4
            496             444              14.6
            496             445              15.0
            487             445              15.9
            481             445              27.8
            481             447              30.8
            481             448              31.0
            481             450              31.7
            481             451              31.8
            481             452              32.5
            481             453              32.6
            481             454              32.8
            481             455              32.8
            481             456              33.2
            481             457              33.3
            481             458              33.4
            481             459              33.5
            481             462              33.8
            481             463              33.9
            481             464              33.9
            481             465              34.0
            481             466              34.0
            481             467              34.0
            481             468              34.0
            481             469              34.0
            481             471              34.1
            481             473              34.2
            481             474              34.2
            481             475              34.3
            481             477              34.3
            481             478              34.3
            481             479              34.3
            481             480              34.3
            481             481              34.4

../solutions/ILP1/R07_08_01_02         481.000             481             481             461              10         0.00000          34.360               1

