             UB              LB           Time(s)
            801             495               0.4
            801             537               1.1
            796             537               1.3
            796             544               1.7
            796             546               2.0
            796             559               3.6
            796             560               3.9
            796             571               5.7
            796             578               6.7
            796             579               6.9
            796             580               7.0
            796             582               7.4
            796             583               8.1
            796             584               8.8
            796             585               9.0
            796             587               9.5
            793             587               9.5
            793             588              10.2
            793             589              10.5
            793             590              11.1
            793             591              11.6
            793             594              14.7
            793             598              15.1
            793             599              25.0
            768             599              49.1
            752             599              50.7
            732             599              54.4
            726             599              56.5
            726             600              69.6
            726             601              83.9
            726             602              85.2
            726             603              86.0
            726             604              88.6
            726             605              89.9
            726             606              91.7
            726             607              94.7
            726             608              97.6
            726             609              99.6
            726             610             107.8
            726             611             119.7
            726             615             120.7
            726             617             121.1
            726             618             123.3
            706             618             124.4
            698             618             148.5
            698             622             150.9
            696             622             152.9
            696             623             170.7
            696             624             188.1
            696             626             195.4
            696             628             198.1
            696             629             206.1
            696             630             220.8
            696             631             222.9
            696             632             226.5
            696             633             230.0
            696             634             238.6
            696             636             238.6
            687             636             247.9
            687             638             249.3
            687             641             254.5
            687             642             263.5
            687             643             266.1
            687             644             268.8
            687             645             272.2
            687             646             277.7
            687             647             285.3
            687             648             296.2
            685             648             309.7
            685             649             317.0
            685             650             330.8
            685             651             333.8
            685             652             364.5
            685             653             392.7
            685             654             396.5
            685             655             408.6
            685             656             423.7
            685             657             438.0
            685             658             449.9
            683             658             456.1
            683             659             460.5
            683             660             477.0
            683             661             487.6
            681             661             502.6
            681             662             505.9
            681             663             513.9
            681             664             520.9
            681             665             534.6
            681             666             540.0
            681             667             545.5
            681             668             549.9
            681             669             555.6
            681             670             560.0
            681             671             564.1
            681             672             569.2
            681             673             573.3
            681             674             574.0
            681             675             576.7
            681             676             583.5
            681             677             599.4
            681             678             606.5
            681             679             617.6
            681             680             629.8
            681             681             631.2

../solutions/ILP1/R06_08_08_02         681.000             681             681             669               6         0.00000         631.161               1

