             UB              LB           Time(s)
            501             416               0.1
            501             438               0.2
            501             441               0.3
            501             446               0.4
            501             448               0.4
            501             455               0.6
            501             456               0.6
            501             462               0.9
            501             463               0.9
            501             465               1.0
            501             466               1.1
            501             467               1.1
            501             468               1.3
            501             471               1.3
            501             474               1.4
            501             475               1.4
            501             476               1.8
            501             479               1.9
            501             480               1.9
            501             484               2.1
            501             485               2.1
            501             486               2.7
            501             487               2.8
            501             488               3.4
            501             489               3.5
            501             490               3.6
            501             498               3.6
            501             499               3.6
            501             500               3.6
            501             501               3.6

../solutions/ILP1/R09_06_02_02         501.000             501             501             501               0         0.00000           3.640               1

