             UB              LB           Time(s)
            571             399               0.3
            571             445               1.0
            571             459               1.4
            571             465               1.6
            571             480               2.6
            571             482               2.7
            571             483               2.8
            571             485               3.5
            571             486               3.6
            571             487               4.0
            571             488               7.1
            571             489               7.7
            571             491               8.0
            571             492               8.4
            571             493               8.5
            571             494              10.9
            571             495              11.4
            571             498              11.9
            571             499              12.5
            571             500              13.0
            571             501              13.2
            571             503              18.1
            571             513              19.0
            571             514              19.7
            571             515              21.3
            571             516              25.3
            571             518              25.4
            571             519              28.9
            571             521              29.8
            571             522              34.5
            571             523              37.5
            571             525              38.1
            571             528              38.9
            571             529              40.3
            571             530              46.6
            571             531              48.9
            571             532              54.9
            571             533              55.6
            571             534              56.5
            571             535              61.2
            571             536              70.8
            571             537              75.5
            571             539              77.7
            571             540              81.3
            571             541              82.0
            571             542              82.4
            571             543              85.1
            571             544              90.2
            571             545              93.4
            571             546              97.0
            571             547              97.7
            571             548              99.9
            571             549             102.1
            571             550             105.8
            571             551             106.9
            571             552             107.2
            571             553             110.0
            571             554             112.6
            571             555             113.1
            571             556             114.0
            571             557             115.2
            571             558             116.6
            571             559             117.8
            571             560             118.7
            571             561             119.3
            571             562             119.7
            571             563             120.2
            571             564             120.6
            571             565             120.8
            571             566             121.3
            571             567             121.5
            571             568             121.6
            571             569             121.7
            571             570             121.7
            571             571             121.8

../solutions/ILP1/R09_08_03_10         571.000             571             571             571               0         0.00000         121.754               1

