             UB              LB           Time(s)
            752             529               0.3
            752             534               0.6
            752             535               0.7
            752             540               0.9
            751             540               1.0
            751             541               1.0
            751             546               1.4
            751             548               1.7
            751             549               1.9
            751             550               2.9
            751             551               3.3
            751             555               3.4
            751             557               3.5
            751             564               3.7
            751             572               5.5
            746             572               6.5
            728             572               8.1
            728             574               8.2
            714             574               8.7
            714             575               8.9
            714             578              10.0
            714             580              10.2
            683             580              10.3
            683             582              10.4
            683             583              12.5
            683             584              13.3
            683             585              13.6
            673             586              15.1
            673             587              36.1
            673             588              36.5
            673             589              38.0
            673             590              38.4
            673             591              38.6
            673             592              39.5
            673             593              42.5
            673             595              43.2
            673             596              43.6
            673             597              43.9
            673             598              45.4
            673             599              47.4
            673             600              47.8
            673             601              49.6
            673             602              50.8
            673             603              50.9
            673             604              52.0
            673             605              52.9
            673             606              54.1
            673             607              54.7
            671             607              55.2
            671             608              56.4
            671             609              60.2
            671             610              61.4
            671             611              62.1
            671             612              62.7
            671             613              63.1
            671             614              63.5
            671             615              64.7
            671             616              65.1
            671             617              66.4
            671             618              68.4
            671             619              69.7
            671             620              72.6
            671             621              75.2
            671             622              76.5
            671             623              77.2
            671             624              78.1
            671             625              79.2
            671             626              80.4
            671             627              81.8
            671             628              83.0
            671             629              83.5
            671             630              86.3
            671             631              87.7
            671             632              88.7
            671             633              90.3
            671             634              91.8
            671             635              93.1
            671             636              93.8
            671             637              95.2
            671             638              95.9
            671             639              97.7
            671             640              98.9
            671             641              99.7
            671             642             100.4
            671             643             101.0
            671             644             101.6
            671             645             102.2
            671             646             103.3
            671             647             103.7
            671             648             104.9
            671             649             105.5
            671             650             105.9
            671             651             106.4
            671             652             107.0
            671             653             108.4
            671             654             108.7
            671             655             108.9
            671             656             109.2
            671             657             109.5
            671             658             109.7
            671             659             109.9
            671             660             110.1
            671             661             110.4
            671             662             110.5
            671             663             110.5
            671             664             110.6
            671             665             110.8
            671             666             110.9
            671             667             110.9
            671             668             110.9
            671             669             111.0
            671             670             111.0
            671             671             111.0

../solutions/ILP1/R08_08_01_05         671.000             671             671             641               6         0.00000         110.988               1

