             UB              LB           Time(s)
            622               6               0.2
            622             364               0.5
            622             387               1.0
            622             389               1.1
            622             397               1.4
            622             404               2.2
            622             411               2.9
            622             412               3.0
            622             413               3.2
            622             414               3.6
            622             415               3.9
            622             418               4.2
            622             419               4.6
            622             420               4.8
            622             421               5.0
            622             422               5.2
            622             423               5.5
            622             424               7.5
            622             427               8.1
            622             428               8.2
            622             430               8.8
            622             431               9.0
            622             432               9.2
            622             433              10.1
            622             437              10.4
            622             438              10.5
            622             439              10.6
            622             440              10.8
            622             441              10.9
            622             442              14.5
            612             442              16.8
            606             442              16.9
            606             443              17.1
            606             444              19.7
            606             445              42.8
            606             446              46.3
            606             447              49.2
            606             448              56.5
            606             453              57.9
            606             454              58.3
            546             454              69.9
            546             461              69.9
            546             462              74.2
            526             462              79.2
            526             463              80.9
            526             466              85.1
            526             467              86.7
            526             468              87.9
            526             469              88.3
            526             470              90.5
            526             471              92.1
            526             473              94.5
            526             474              96.3
            526             475              98.0
            523             475             100.6
            523             476             101.9
            523             477             106.4
            523             478             107.4
            523             479             109.9
            523             480             113.6
            523             481             115.5
            523             482             118.2
            523             483             124.0
            523             484             125.6
            523             485             131.0
            523             486             134.5
            523             487             135.0
            523             488             138.6
            523             489             141.6
            523             490             146.3
            523             491             150.8
            523             492             154.1
            523             493             155.3
            523             494             158.7
            523             495             160.8
            523             496             166.2
            523             497             168.6
            523             498             170.6
            523             499             172.3
            523             500             174.9
            523             501             178.0
            523             502             180.4
            523             503             181.9
            523             504             185.2
            523             505             187.0
            523             506             188.8
            523             507             190.5
            523             508             195.3
            523             509             196.0
            523             510             197.7
            523             511             198.5
            523             512             199.4
            523             513             200.3
            523             514             201.4
            523             515             202.0
            523             516             202.5
            523             517             202.9
            523             518             203.3
            523             519             203.7
            523             520             204.0
            523             521             204.1
            523             522             204.2
            523             523             204.2

../solutions/ILP1/R05_10_03_00         523.000             523             523             523              44         0.00000         204.225               1

