             UB              LB           Time(s)
           1132             569              79.6
           1132             595             140.4
           1132             610             198.3
           1132             624             279.5
           1132             628             376.7
           1132             629             406.6
           1132             631             455.3
           1132             632             511.6
           1132             635             825.8
           1132             637             944.7
           1132             638            1468.6
           1132             639            2140.5
           1132             640            2218.8

../solutions/ILP1/R09_20_01_05         639.311             640            1132            1132               0         0.43463        3600.215               0

