             UB              LB           Time(s)
            998             580              44.2
            998             597             141.4
            998             600             192.1
            998             608             357.6
            998             615             620.3
            998             618             713.3
            998             619             748.8
            998             629            1060.5
            998             631            1262.1
            998             633            1436.6
            998             634            1606.3
            998             635            1644.2
            998             636            1777.4
            998             637            2020.8
            998             638            2114.1
            998             639            3597.8

../solutions/ILP1/R06_15_15_10         638.957             639             998             998               0         0.35972        3600.068               0

