        UB            Time(s)
exec #1
       751                 0.0
exec #2
       751                 0.0
exec #3
       751                 0.0
exec #4
       751                 0.0
       745              2392.4
exec #5
       751                 0.0
exec #6
       751                 0.0
exec #7
       751                 0.0
exec #8
       751                 0.0
       747              3126.0
exec #9
       751                 0.0
exec #10
       751                 0.0
       750              1304.1
       746              1826.2

solutions/BRKGA/R09_12_05_01             751             751             751             745             751             751             751             747             751             746       36011.022
