        UB            Time(s)
exec #1
       722                 0.0
       712                13.6
       709                19.2
       705                20.4
       700                25.8
exec #2
       722                 0.0
       719                14.7
       717                15.1
       715                15.5
       714                17.2
       712                20.2
       710                20.6
exec #3
       722                 0.0
       719                13.3
       715                13.7
       712                14.1
       710                20.2
       708              2309.6
       700              2354.5
exec #4
       722                 0.0
       716                14.4
       715                15.3
       712                16.9
       709                18.1
       707                21.6
       704                22.8
       700                23.2
exec #5
       722                 0.0
       716                11.0
       714                18.1
       712                19.4
       710                23.0
exec #6
       722                 0.0
       719                13.7
       716                15.0
       714                16.2
       712                18.6
       710                21.4
exec #7
       722                 0.0
       720                14.1
       715                14.5
       714                15.7
       712                17.4
       710                19.8
       700              1104.9
exec #8
       722                 0.0
       717                11.6
       715                13.8
       714                15.4
       710                18.4
exec #9
       722                 0.0
       719                12.1
       717                12.9
       715                13.3
       712                15.4
       710                17.9
       708               342.9
       700               345.8
       697               665.4
       695               718.0
exec #10
       722                 0.0
       719                11.2
       717                12.5
       710                14.2
       700               372.5

solutions/BRKGA/R05_12_03_10             700             710             700             700             710             710             700             710             695             700       36006.361
