        UB            Time(s)
exec #1
       622                 0.0
       621                 0.5
       620                 1.1
       611                 1.3
       608                 1.8
       588                 1.9
       567                 3.1
       566                 5.3
       565                 5.8
       564                 6.7
       562                 7.5
       560                 8.5
exec #2
       622                 0.0
       620                 0.9
       619                 1.3
       594                 1.4
       587                 2.7
       570                 3.8
       569                 4.3
       565                 5.1
       564                 7.2
exec #3
       622                 0.0
       612                 1.2
       609                 1.8
       605                 2.1
       599                 2.4
       593                 2.5
       590                 3.4
       581                 3.8
       580                 5.3
       567                 6.5
       564                14.1
exec #4
       622                 0.0
       613                 0.6
       612                 1.2
       590                 1.7
       588                 2.2
       581                 2.9
       578                 4.9
       570                 5.0
       561                 6.3
       560                55.2
exec #5
       622                 0.0
       616                 0.1
       603                 0.8
       594                 1.4
       587                 2.1
       584                 3.7
       561                 4.5
       560                 6.0
exec #6
       622                 0.0
       609                 1.2
       604                 1.6
       583                 1.7
       578                 3.0
       576                 3.9
       574                 4.1
       562                 4.2
       561                 4.3
       560                 5.1
exec #7
       622                 0.0
       621                 0.7
       606                 1.2
       593                 1.6
       583                 2.4
       579                 4.5
       567                 5.2
       562                 9.0
       561                10.6
       560               108.6
exec #8
       622                 0.0
       619                 1.0
       604                 1.3
       603                 1.8
       594                 2.0
       589                 2.1
       587                 2.3
       585                 3.9
       584                 4.0
       574                 4.5
       561                 6.3
       560                18.1
exec #9
       622                 0.0
       606                 0.6
       601                 1.0
       577                 1.5
       575                 2.5
       573                 3.5
       569                 7.4
       561                 7.5
       560                 9.9
exec #10
       622                 0.0
       614                 1.0
       607                 1.3
       598                 1.7
       590                 1.9
       588                 2.4
       576                 2.7
       574                 3.1
       573                 3.4
       562                 3.5
       561                 4.3
       560                 8.3

solutions/BRKGA/R05_10_01_01             560             564             564             560             560             560             560             560             560             560       36002.124
