        UB            Time(s)
exec #1
       909                 0.0
       908                79.1
exec #2
       909                 0.0
       908                 9.5
exec #3
       909                 0.0
       908               138.6
exec #4
       909                 0.0
       908                78.3
exec #5
       909                 0.0
       908                69.8
exec #6
       909                 0.0
       908                38.9
exec #7
       909                 0.0
       908                38.8
exec #8
       909                 0.0
       908                66.8
exec #9
       909                 0.0
       907                25.0
exec #10
       909                 0.0
       908               175.6

solutions/BRKGA/R09_15_01_10             908             908             908             908             908             908             908             908             907             908       36004.248
