        UB            Time(s)
exec #1
      1048                 0.0
      1045                 6.8
exec #2
      1048                 0.0
      1045                 6.9
exec #3
      1048                 0.0
      1045                 5.7
exec #4
      1048                 0.0
      1045                 5.8
exec #5
      1048                 0.0
      1045                 6.4
exec #6
      1048                 0.0
      1045                 7.2
exec #7
      1048                 0.0
      1045                 6.4
exec #8
      1048                 0.0
      1045                 8.7
exec #9
      1048                 0.0
      1045                 5.4
exec #10
      1048                 0.0
      1045                 6.7

solutions/BRKGA/R08_15_01_20            1045            1045            1045            1045            1045            1045            1045            1045            1045            1045       36004.488
