        UB            Time(s)
exec #1
      1132                 0.0
      1131                77.8
exec #2
      1132                 0.0
      1131                74.9
exec #3
      1132                 0.0
      1131                81.4
exec #4
      1132                 0.0
      1131                78.8
exec #5
      1132                 0.0
      1131                87.1
exec #6
      1132                 0.0
      1131                79.1
exec #7
      1132                 0.0
      1131                76.5
      1130              1568.2
      1119              1612.6
      1117              1633.5
      1114              1712.1
      1096              1780.7
      1091              1822.9
      1076              2358.4
exec #8
      1132                 0.0
      1131                84.3
exec #9
      1132                 0.0
      1131                85.7
exec #10
      1132                 0.0
      1131                82.7

solutions/BRKGA/R09_20_04_10            1131            1131            1131            1131            1131            1131            1076            1131            1131            1131       36027.201
