        UB            Time(s)
exec #1
      1132                 0.0
      1130               124.5
      1127               128.1
      1126               129.8
      1125               138.2
      1124               143.4
      1123               161.0
      1118              1718.5
exec #2
      1132                 0.0
      1131               107.7
      1126               108.7
      1125               112.6
      1124               115.6
      1123               119.5
      1118               188.4
exec #3
      1132                 0.0
      1126               114.0
      1124               127.4
      1123               154.1
exec #4
      1132                 0.0
      1131               114.6
      1126               116.4
      1124               119.9
      1120               142.2
      1109               204.8
      1107               218.3
      1105               245.1
      1093               258.7
      1089               260.3
      1088               272.0
      1083               284.0
      1063              2943.6
exec #5
      1132                 0.0
      1131               115.4
      1129               116.9
      1126               121.9
      1124               125.2
      1123               161.8
exec #6
      1132                 0.0
      1130               111.9
      1126               113.5
      1125               123.6
      1124               133.4
      1123               150.2
      1121              1354.4
      1118              1356.2
exec #7
      1132                 0.0
      1126               112.6
      1124               125.8
      1123               153.4
      1121              2080.8
exec #8
      1132                 0.0
      1129               120.1
      1126               121.8
      1125               140.7
      1124               147.6
      1123               172.4
exec #9
      1132                 0.0
      1129               125.7
      1126               127.3
      1124               135.7
      1123               163.0
      1118              2216.4
exec #10
      1132                 0.0
      1127               126.7
      1126               130.2
      1124               133.7
      1123               162.0
      1118              2685.9

solutions/BRKGA/R09_20_04_05            1118            1118            1123            1063            1123            1118            1121            1123            1118            1118       36027.489
