        UB            Time(s)
exec #1
       722                 0.0
       718                11.1
       699                11.5
       696                15.4
       673                17.1
       659                18.0
       658                27.1
       656                30.8
       645                31.7
       640                33.3
       637                44.6
       635                67.0
       619                68.2
       616                78.4
       611                96.9
       607               155.7
       604               166.6
       603               234.2
       602               264.5
       601               302.3
       600               312.8
       598               355.5
       596               378.9
       595               388.3
       594               404.6
       593               423.3
       592               428.3
       591               445.7
       586               452.1
       585               481.6
       584               488.8
       583               494.7
       582              1757.9
       581              1777.5
       579              1851.6
exec #2
       722                 0.0
       707                10.8
       696                20.3
       678                21.6
       643                31.6
       633                76.6
       630                88.6
       616                96.0
       615               156.9
       614               188.0
       610               196.5
       609               235.8
       607               238.7
       600               350.1
       599               566.3
       598               632.1
       596               633.0
       595               642.4
       593               667.8
       592               678.5
       591               684.0
       589               687.4
       588               691.6
       587               713.7
       586               722.1
       585              1480.9
       583              2582.9
       582              2628.4
       581              2762.1
       580              2768.1
exec #3
       722                 0.0
       709                 9.6
       698                12.6
       697                17.2
       691                18.0
       644                18.5
       626                31.4
       623               116.2
       620               124.5
       614               127.0
       607               160.7
       605               323.7
       601               402.9
       600               473.6
       599               475.3
       595               530.8
       594               598.3
       592               681.6
       591               706.0
       590               724.3
       589               751.3
       588               758.5
       587               812.2
       586               884.0
       585               899.6
       584               918.6
exec #4
       722                 0.0
       690                 9.6
       672                10.9
       666                16.7
       659                20.0
       650                27.6
       636                35.6
       621                57.7
       614                74.0
       612               146.3
       610               187.0
       609               241.9
       604               259.6
       603               479.5
       602               599.7
       600               613.5
       599               643.5
       598               649.9
       597               657.1
       596               663.1
       595               695.2
       594               710.4
       593               717.6
exec #5
       722                 0.0
       720                 4.0
       717                20.5
       702                22.9
       689                28.4
       649                40.9
       647                56.1
       638                80.9
       634                94.5
       609               101.3
       608               199.2
       607               242.3
       605               305.4
       602               307.5
       600               344.0
       599               393.3
       596               444.6
       595               482.2
       594               530.8
       593               535.1
       592               535.9
       591               539.3
       590               543.0
       588               548.9
       587               552.3
       586               587.6
       585               800.5
       584               807.1
       582              1074.5
exec #6
       722                 0.0
       718                 9.9
       702                10.7
       699                12.5
       694                15.0
       689                17.6
       687                22.3
       681                22.7
       677                24.0
       669                24.4
       667                28.3
       665                30.3
       659                31.4
       642                31.8
       627                37.2
       623                74.2
       622                92.8
       615               109.9
       613               209.3
       609               210.1
       605               213.9
       603               488.1
       600               591.2
       599               629.9
       597               644.9
       596               653.8
       595               846.6
       593               856.7
       592               861.3
       591               862.2
exec #7
       722                 0.0
       683                 9.1
       682                13.7
       676                17.9
       675                24.7
       668                26.0
       633                26.8
       630                31.6
       622                48.8
       614                53.9
       611                81.6
       605               112.1
       604               354.9
       597               397.8
       596               602.3
       595               602.7
       593               611.0
       592               632.0
       590               653.8
       589               656.8
       588               661.0
       587               668.2
       586               670.9
       585               673.7
       583               680.2
       582               685.6
       581              1176.3
       579              1184.2
exec #8
       722                 0.0
       675                10.0
       671                21.3
       668                23.8
       660                24.6
       659                32.6
       648                34.4
       640                41.9
       633                48.7
       631                51.3
       628                61.5
       627                66.5
       625                76.7
       618               110.6
       612               206.1
       605               282.4
       603               515.3
       601               559.6
       600               608.1
       598               657.4
       597               707.7
       596               758.8
       595               834.7
       593               859.2
       592               904.7
       591               909.7
       590               910.1
       589               914.9
       588               917.8
       587               920.0
       586               922.0
       585               930.6
       584              1154.5
       583              1286.4
exec #9
       722                 0.0
       697                 6.3
       695                16.1
       660                16.9
       656                24.2
       640                43.7
       637                65.9
       622                66.4
       619                87.2
       618               126.7
       610               133.4
       607               242.0
       605               339.4
       597               451.4
       596               717.2
       595               740.9
       594               766.1
       593               768.9
       592               779.0
       590               793.1
       589               795.9
       588               902.8
       587               904.0
       586               923.4
       584               954.5
       583              1355.5
       582              1365.2
exec #10
       722                 0.0
       719                 5.9
       698                 8.2
       682                17.1
       678                20.6
       671                23.7
       653                24.0
       652                26.5
       641                32.1
       618                35.6
       616               105.7
       615               117.9
       614               143.4
       608               149.7
       597               217.0
       596               315.1
       595               332.5
       593               402.7
       592               427.4
       590               428.5
       589               475.0
       588               487.3
       587               489.4
       586               501.0
       585               514.9
       584               528.2
       583              1102.1
       582              1107.4

solutions/BRKGA/R05_12_03_01             579             580             584             593             582             591             579             583             582             582       36006.762
