        UB            Time(s)
exec #1
       671                 0.0
       648                 4.9
       647                11.0
       643                15.8
       632                17.2
       628                18.1
       624                27.5
       623                32.6
       622                36.3
       621              2372.7
       620              2424.8
       619              2456.1
exec #2
       671                 0.0
       655                 6.9
       651                14.1
       645                18.2
       638                21.7
       636                25.4
       632                31.8
       627                40.5
       626                48.1
       623                66.6
       622                80.4
       621                83.6
       620                84.9
       619                88.2
exec #3
       671                 0.0
       666                 4.0
       653                 5.3
       649                 7.6
       639                 9.1
       636                15.7
       633                15.9
       632                22.0
       629                23.6
       628                24.9
       627                28.7
       626                28.9
       625                31.1
       624                32.3
       623                32.9
       622                49.1
exec #4
       671                 0.0
       663                 7.9
       659                 8.5
       651                13.1
       650                13.7
       645                14.2
       644                17.1
       641                18.7
       640                23.8
       633                25.5
       631                27.1
       625                32.4
       623                49.0
       622                61.2
exec #5
       671                 0.0
       655                 5.1
       646                12.6
       643                13.0
       635                18.9
       630                21.1
       629                22.7
       625                24.3
       624                31.3
       621                34.3
       620                67.7
       619                99.9
exec #6
       671                 0.0
       641                 6.5
       635                21.1
       627                25.2
       623                30.3
       622                32.1
       621               314.3
       620               359.2
       619               373.3
exec #7
       671                 0.0
       639                 7.2
       638                15.6
       634                22.5
       632                30.4
       631                42.4
       630                46.3
       624                49.2
       623                66.7
       622                70.4
exec #8
       671                 0.0
       658                 8.6
       653                16.7
       639                18.3
       636                28.3
       634                35.5
       633                36.3
       632                40.9
       630                68.7
       629                74.1
       627               438.5
       625               447.2
       624               449.0
       622               451.5
       621               454.5
       620               457.4
       619               457.8
exec #9
       671                 0.0
       668                 1.8
       653                 4.8
       649                 8.7
       637                10.2
       633                14.9
       632                18.1
       630                24.3
       629                25.2
       627                26.6
       625                28.8
       624                34.6
       623                35.4
       622                39.1
exec #10
       671                 0.0
       660                 4.1
       659                 4.6
       655                11.6
       653                11.9
       644                12.8
       636                13.2
       631                18.7
       626                23.7
       625                30.5
       624                32.3
       623                34.1
       622                39.1

solutions/BRKGA/R09_10_02_01             619             619             622             622             619             619             622             619             622             622       36003.508
