        UB            Time(s)
exec #1
       885                 0.0
       881                16.3
       878                36.8
       868                38.7
       860                49.1
       859                50.7
       841                53.3
       797                57.0
       787                98.2
       779               139.6
       777               149.0
       771               153.2
       768               155.5
       759               162.1
       755               163.0
       753               167.7
       751               175.9
       747               180.8
       745               183.6
       743               185.5
exec #2
       885                 0.0
       861                28.6
       840                51.1
       836                57.7
       832                87.2
       808                95.3
       798                96.2
       797               106.5
       783               112.8
       776               131.2
       770               143.7
       766               144.2
       764               152.5
       762               159.6
       758               173.0
       756               174.8
       754               181.5
       752               192.6
       748               205.8
       746               211.8
       744               221.8
exec #3
       885                 0.0
       870                56.3
       866                81.8
       843               103.7
       817               123.4
       808               156.0
       807               160.2
       804               160.7
       791               166.3
       787               171.3
       778               179.6
       776               182.8
       758               185.0
       752               192.6
       746               193.7
       744               204.3
       740               211.3
       736               216.4
       734               238.1
       732               276.9
exec #4
       885                 0.0
       871                48.0
       847                52.0
       845                75.5
       836                77.3
       822                79.2
       819               109.0
       803               123.2
       796               129.9
       791               131.3
       781               154.1
       778               172.2
       771               179.6
       765               181.0
       763               202.8
       761               204.2
       757               207.3
       755               213.1
       753               213.9
       751               218.5
exec #5
       885                 0.0
       881                45.8
       875                47.1
       870                47.5
       838                60.0
       822                85.1
       819               114.5
       801               139.9
       800               167.5
       787               182.6
       775               196.3
       772               209.4
       770               233.1
       768               235.2
       766               241.8
       764               251.1
       762               266.1
       760               279.4
       759               709.5
exec #6
       885                 0.0
       872                53.0
       855                64.7
       852                74.7
       846                94.4
       845                98.9
       844                99.8
       828               108.0
       805               111.4
       802               117.8
       800               132.5
       792               138.9
       788               148.0
       778               153.9
       776               161.4
       772               162.4
       770               174.3
       764               176.0
       756               186.0
       754               193.5
       752               204.4
       750               222.2
       748               270.1
       744               396.8
       742               469.4
exec #7
       885                 0.0
       878                36.5
       874                41.7
       861                48.2
       846                54.0
       840                57.9
       839                88.0
       828                93.3
       814               105.5
       807               130.7
       804               134.0
       800               136.2
       797               141.6
       781               165.6
       780               179.7
       778               185.4
       770               189.6
       768               211.8
       752               213.7
       744               218.0
       742               489.7
       738               492.2
       736               499.9
       732               537.0
exec #8
       885                 0.0
       881                31.3
       860                43.6
       848                65.7
       820                88.9
       811               143.3
       805               218.1
       796               233.2
       790               238.1
       777               242.5
       774               251.6
       767               263.9
       762               275.0
       760               277.2
       752               279.0
       750               296.3
       748               298.7
       746               303.6
       742               340.7
       740               398.4
exec #9
       885                 0.0
       874                42.9
       860                54.8
       856                91.9
       844                96.8
       843               118.5
       840               138.5
       839               140.4
       817               153.1
       795               159.8
       778               193.7
       764               209.9
       760               226.9
       746               234.6
       744               331.4
exec #10
       885                 0.0
       875                45.7
       871                56.5
       849                58.0
       839                62.5
       836                81.8
       834                91.5
       826                94.7
       817               104.3
       804               111.1
       802               111.6
       801               112.5
       798               117.9
       793               118.8
       790               124.3
       765               126.5
       763               156.7
       751               157.1
       749               165.6
       745               179.4
       743               181.6

solutions/BRKGA/R08_12_03_02             743             744             732             751             759             742             732             740             744             743       36007.810
