        UB            Time(s)
exec #1
       671                 0.0
       670                39.1
       665                39.4
       663                44.9
       658                46.7
       653                50.6
exec #2
       671                 0.0
       658                26.8
       655               121.4
       653               126.4
exec #3
       671                 0.0
       668                41.2
       663                42.6
       653                48.5
exec #4
       671                 0.0
       663                31.8
       659                38.1
exec #5
       671                 0.0
       668                31.1
       667                38.4
       658                40.4
       653               137.2
exec #6
       671                 0.0
       670                46.0
       663                48.4
       658                53.8
       653                55.2
exec #7
       671                 0.0
       669                64.0
       659                68.7
exec #8
       671                 0.0
       663                40.5
       660                48.9
       658                52.1
       653                57.6
exec #9
       671                 0.0
       659                54.6
exec #10
       671                 0.0
       670                35.6
       663                36.1
       658                41.3
       653                49.2

solutions/BRKGA/R09_10_03_05             653             653             653             659             653             653             659             653             659             653       36004.681
