        UB            Time(s)
exec #1
       557                 0.0
       546                 7.9
       541                 8.2
       521                 8.7
exec #2
       557                 0.0
       541                 8.4
       521                 9.2
exec #3
       557                 0.0
       556                 9.8
       546                10.1
       541                10.3
       521                10.6
exec #4
       557                 0.0
       546                 8.7
       538                 9.5
       521                 9.7
exec #5
       557                 0.0
       546                 8.0
       541                 9.3
       521                 9.6
exec #6
       557                 0.0
       556                 7.9
       541                 8.4
       538                 8.7
       531                 9.4
       521                 9.6
exec #7
       557                 0.0
       546                 7.5
       521                 7.7
exec #8
       557                 0.0
       556                 7.6
       546                 7.8
       541                 8.3
       538                 8.6
       521                 8.8
exec #9
       557                 0.0
       546                 9.1
       521                 9.8
exec #10
       557                 0.0
       546                 6.6
       521                 7.3

solutions/BRKGA/R07_08_05_10             521             521             521             521             521             521             521             521             521             521       36003.891
