        UB            Time(s)
exec #1
       701                 0.0
       698                 0.2
       669                 0.3
       664                 0.4
       663                 0.7
       649                 0.9
       647                 0.9
exec #2
       729                 0.0
       705                 0.0
       682                 0.3
       681                 0.4
       667                 0.4
       657                 1.0
       649                 1.3
       648                 1.5
       647                 2.1
exec #3
       692                 0.0
       679                 0.2
       670                 0.6
       662                 0.8
       655                 1.1
       649                 1.2
       648                 1.5
exec #4
       714                 0.0
       706                 0.0
       701                 0.2
       691                 0.3
       679                 0.4
       664                 0.5
       657                 0.7
       649                 1.2
       647                 2.6
exec #5
       730                 0.0
       677                 0.1
       667                 0.6
       664                 0.7
       657                 1.0
       649                 1.1
       647                 1.9
exec #6
       712                 0.0
       697                 0.0
       673                 0.2
       664                 0.4
       651                 0.8
       647                 0.9
exec #7
       686                 0.0
       662                 0.2
       647                 1.0
exec #8
       710                 0.0
       708                 0.1
       695                 0.3
       690                 0.4
       684                 0.4
       669                 0.5
       666                 0.6
       665                 0.7
       649                 0.8
       648                 1.9
       647                 2.3
exec #9
       716                 0.0
       705                 0.0
       695                 0.2
       691                 0.3
       679                 0.4
       672                 0.5
       667                 0.9
       663                 1.1
       649                 1.2
       647                 1.9
exec #10
       729                 0.0
       714                 0.0
       690                 0.1
       683                 0.3
       667                 0.3
       664                 0.8
       648                 1.0

solutions/BRKGA/R08_08_01_01             647             647             648             647             647             647             647             647             647             648       36001.636
