        UB            Time(s)
exec #1
      1132                 0.0
      1131                96.7
exec #2
      1132                 0.0
      1131                67.4
      1130                76.9
      1125               105.6
      1114               119.9
      1112               129.5
exec #3
      1132                 0.0
      1131               108.4
exec #4
      1132                 0.0
      1131                99.8
exec #5
      1132                 0.0
      1131               108.4
      1130              1219.2
      1119              1288.3
      1117              1313.1
      1112              1364.2
      1097              1596.5
exec #6
      1132                 0.0
      1131                97.1
exec #7
      1132                 0.0
      1131               105.8
exec #8
      1132                 0.0
      1131                98.6
exec #9
      1132                 0.0
      1131                88.9
exec #10
      1132                 0.0
      1131               104.8
      1130               115.4
      1125               207.2
      1114               296.9
      1112               330.6
      1097              2322.4

solutions/BRKGA/R09_20_05_10            1131            1112            1131            1131            1097            1131            1131            1131            1131            1097       36036.166
