        UB            Time(s)
exec #1
       601                 0.0
       598                 3.1
       595                 3.2
exec #2
       601                 0.0
       598                 2.5
       595                 2.6
exec #3
       601                 0.0
       595                 2.6
exec #4
       601                 0.0
       595                 2.6
exec #5
       601                 0.0
       595                 3.1
exec #6
       601                 0.0
       595                 2.9
exec #7
       601                 0.0
       595                 2.6
exec #8
       601                 0.0
       595                 3.0
exec #9
       601                 0.0
       595                 2.9
exec #10
       601                 0.0
       595                 2.8

solutions/BRKGA/R06_06_06_20             595             595             595             595             595             595             595             595             595             595       36001.809
