        UB            Time(s)
exec #1
       571                 0.0
       559                 3.9
       551                34.0
       548                45.5
       547               116.9
exec #2
       571                 0.0
       568                 3.0
       561                 7.9
       556                 9.9
       555                14.0
       551                18.5
       548                55.6
       547               112.2
exec #3
       571                 0.0
       561                 2.1
       559                22.1
       549                28.4
       547                70.6
exec #4
       571                 0.0
       570                 1.2
       568                 1.5
       560                 6.2
       555                 6.8
       547                29.0
exec #5
       571                 0.0
       561                 5.7
       555                18.8
       547                23.2
exec #6
       571                 0.0
       570                 2.0
       568                 8.0
       562                 8.9
       561                11.3
       552                13.3
       548                32.5
       547                33.5
exec #7
       568                 0.0
       564                 1.2
       560                16.6
       556                17.7
       555                22.4
       547                43.1
exec #8
       571                 0.0
       568                 4.5
       560                 9.7
       548                11.3
       547               149.8
exec #9
       571                 0.0
       561                 2.6
       559                 6.4
       555                13.5
       548                38.4
       547               103.6
exec #10
       571                 0.0
       564                 1.1
       563                10.4
       548                18.8
       547                27.8

solutions/BRKGA/R09_08_08_00             547             547             547             547             547             547             547             547             547             547       36004.676
