        UB            Time(s)
exec #1
       495                 0.0
       479                 0.1
       475                 0.3
       465                 0.4
       461                 0.6
       451                 0.9
exec #2
       495                 0.0
       456                 0.2
       451                 0.7
exec #3
       495                 0.0
       476                 0.0
       471                 0.2
       461                 0.6
       460                 1.2
       451                 1.2
exec #4
       495                 0.0
       486                 0.1
       480                 0.2
       478                 0.2
       472                 0.3
       466                 0.4
       451                 1.2
exec #5
       495                 0.0
       476                 0.2
       470                 0.5
       461                 0.6
       451                 1.0
exec #6
       495                 0.0
       470                 0.2
       460                 1.0
       456                 1.2
       451                 1.7
exec #7
       495                 0.0
       466                 0.2
       451                 0.6
exec #8
       495                 0.0
       471                 0.3
       466                 0.5
       461                 1.1
       456                 1.3
       451                 1.6
exec #9
       495                 0.0
       476                 0.2
       475                 0.5
       471                 0.5
       465                 0.7
       461                 1.2
       460                 1.4
       451                 1.7
exec #10
       495                 0.0
       477                 0.1
       473                 0.3
       465                 0.4
       460                 1.0
       456                 1.4
       451                 2.1

solutions/BRKGA/R07_06_02_05             451             451             451             451             451             451             451             451             451             451       36001.331
