        UB            Time(s)
exec #1
       671                 0.0
exec #2
       671                 0.0
       670                19.6
exec #3
       671                 0.0
       670                59.7
exec #4
       671                 0.0
       670                44.3
exec #5
       671                 0.0
       670                30.5
exec #6
       671                 0.0
       670                39.3
exec #7
       671                 0.0
       670                18.3
exec #8
       671                 0.0
       670              2316.7
exec #9
       671                 0.0
       670              3035.6
exec #10
       671                 0.0
       670                10.7

solutions/BRKGA/R09_10_03_10             671             670             670             670             670             670             670             670             670             670       36004.549
