        UB            Time(s)
exec #1
       650                 0.0
       648                 3.6
       632                 3.8
       625                 4.7
       614                 5.2
       599                 5.4
       590                 5.7
       585                 7.0
       580                 7.7
       575                 8.1
       568                 8.6
       565                 9.5
       563                 9.7
exec #2
       650                 0.0
       625                 3.3
       620                 4.9
       610                 5.9
       603                 6.6
       596                 7.6
       570                 8.5
       565                11.1
       563                12.4
exec #3
       650                 0.0
       629                 3.5
       627                 3.9
       624                 4.3
       610                 4.8
       591                 5.2
       578                 6.1
       568                 8.3
       563                11.0
exec #4
       650                 0.0
       641                 2.8
       637                 4.8
       636                 5.1
       624                 5.5
       615                 5.7
       611                 6.0
       609                 6.4
       598                 6.9
       593                 7.1
       590                 7.3
       580                 7.6
       573                 8.0
       568                 9.4
       563                 9.6
exec #5
       650                 0.0
       645                 4.2
       635                 4.4
       600                 4.6
       583                 6.5
       575                 7.8
       570                 9.5
       568                 9.9
       563                10.1
exec #6
       650                 0.0
       644                 2.4
       623                 3.6
       615                 4.3
       609                 5.0
       601                 5.2
       595                 5.6
       591                 6.3
       590                 6.7
       576                 7.6
       570                 8.2
       565                10.3
       563                11.8
exec #7
       650                 0.0
       636                 2.7
       612                 2.9
       597                 4.0
       588                 5.2
       570                 5.6
       568                 7.4
       565                 8.0
       563                 8.7
exec #8
       650                 0.0
       643                 2.8
       625                 3.7
       620                 4.1
       594                 4.5
       580                 5.6
       573                 7.0
       568                 9.2
       565                 9.6
       563                10.1
exec #9
       650                 0.0
       640                 2.7
       632                 4.0
       629                 4.9
       621                 5.3
       602                 5.6
       590                 5.9
       589                 6.2
       580                 7.2
       575                 8.1
       570                 8.5
       565                 9.4
       563                13.1
exec #10
       650                 0.0
       637                 0.0
       616                 4.7
       610                 5.3
       607                 5.5
       601                 6.0
       589                 6.8
       580                 7.0
       576                10.2
       575                10.8
       568                11.4
       565                13.6
       563               258.1

solutions/BRKGA/R07_10_02_05             563             563             563             563             563             563             563             563             563             563       36003.634
