        UB            Time(s)
exec #1
      1186                 0.0
      1177                76.5
      1149                90.2
      1116               165.0
      1104               205.3
      1096               206.2
      1093               244.5
      1090               523.6
      1089               528.5
      1082               540.5
      1059               596.9
      1058               862.8
      1051               932.4
      1046              1106.1
      1031              1129.7
      1025              1227.5
      1024              1492.4
      1023              1590.5
      1022              1715.1
      1020              1764.1
      1017              1835.6
      1015              1854.7
      1013              1877.4
      1011              1946.7
      1010              1973.4
      1009              1992.8
      1008              2008.1
      1007              2031.4
      1006              2041.2
      1005              2149.8
      1003              2209.7
      1002              2217.8
      1001              2218.9
       997              2259.0
       996              2311.8
       994              2392.0
       993              2420.9
exec #2
      1186                 0.0
      1185                41.8
      1130                91.8
      1119               151.4
      1113               167.1
      1112               286.7
      1101               306.2
      1099               590.5
      1094               597.1
      1092               627.0
      1088               660.2
      1084               737.1
      1082               774.6
      1050               784.3
      1044              1597.3
      1039              2208.8
      1034              2514.9
      1032              2576.0
      1029              2724.0
      1023              2742.2
      1019              2878.7
      1018              3225.3
      1015              3243.4
      1012              3282.5
      1006              3324.8
      1005              3459.7
      1004              3495.4
      1003              3518.4
      1001              3555.0
exec #3
      1186                 0.0
      1174                71.7
      1166                95.6
      1152               116.4
      1124               131.6
      1118               238.0
      1115               265.0
      1106               315.2
      1096               357.7
      1088               478.7
      1059               482.4
      1055               548.8
      1049               628.5
      1046               987.6
      1045              1089.7
      1038              1096.2
      1035              1105.6
      1033              1240.0
      1022              1392.3
      1021              1663.4
      1020              1728.3
      1015              1752.6
      1010              1813.6
      1007              1859.2
      1006              1904.3
      1004              1921.7
      1002              1943.2
      1001              1985.3
      1000              1990.2
       999              2022.7
       998              2038.0
       996              2064.8
       995              2118.6
       994              2136.4
exec #4
      1186                 0.0
      1185                78.7
      1163                92.2
      1159               158.8
      1154               198.6
      1150               224.0
      1138               238.9
      1103               268.6
      1101               435.4
      1068               463.7
      1058               659.7
      1020               759.8
      1010               950.9
      1001              1094.6
      1000              1181.7
       999              1196.6
       997              1205.2
       988              1210.2
       986              1215.1
       981              1268.4
       980              1277.7
       975              1292.4
       974              1315.6
       973              1348.4
       971              1363.8
       969              1378.9
       968              1407.7
       967              1419.0
       966              1437.2
       965              1515.7
       964              1596.5
       963              1607.5
       962              2886.7
exec #5
      1186                 0.0
      1152               122.3
      1145               128.2
      1142               206.0
      1125               207.2
      1113               264.9
      1101               266.2
      1082               550.9
      1079               666.5
      1078               732.1
      1076               843.4
      1069               887.1
      1067              1035.1
      1052              1059.1
      1048              1161.5
      1033              1221.2
      1030              1497.8
      1014              1623.7
      1004              1898.0
      1001              1907.7
       997              1991.4
       996              2077.5
       995              2125.5
       994              2161.4
       993              2185.6
       992              2268.1
       991              2386.2
       988              2413.6
       987              2692.5
       985              2700.8
       984              2753.6
       983              2894.5
       982              2963.7
       981              3071.2
       977              3518.4
exec #6
      1186                 0.0
      1164                91.6
      1161                97.8
      1159               138.6
      1151               182.7
      1140               225.6
      1139               235.2
      1138               243.6
      1136               284.3
      1127               300.1
      1124               339.7
      1123               364.3
      1105               370.1
      1097               382.3
      1087               409.0
      1082               494.3
      1072               579.1
      1060               581.6
      1045               795.7
      1018               812.0
      1014               871.2
      1011              1048.0
      1009              1165.9
      1001              1218.5
      1000              1282.1
       999              1288.2
       998              1317.5
       993              1356.0
       986              1408.8
       983              1472.9
       978              1499.3
       975              1522.6
       974              1559.2
       973              1596.8
       972              1626.6
       971              1710.9
exec #7
      1186                 0.0
      1179                66.3
