        UB            Time(s)
exec #1
       571                 0.0
       569                12.3
       567                12.6
       566                18.3
       564                19.7
       563                21.4
       562                22.4
       561                23.7
exec #2
       571                 0.0
       567                 4.4
       564                11.6
       563                12.2
       560                12.3
       559               290.2
       558               364.0
exec #3
       571                 0.0
       569                 7.3
       568                13.3
       567                13.9
       566                14.9
       565                15.6
       564                15.8
       563                16.9
       562                17.6
       561                19.5
       560              1989.2
exec #4
       571                 0.0
       570                 5.6
       569                 6.2
       567                 6.5
       566                14.3
       565                15.3
       564                16.0
       563                16.8
       562                17.5
       561                20.1
exec #5
       571                 0.0
       569                 5.4
       566                 6.2
       564                10.6
       563                11.7
       561                14.3
exec #6
       571                 0.0
       570                 7.0
       569                 7.9
       563                 8.0
       562                14.5
       560                41.9
       559              1492.7
       558              1627.0
exec #7
       571                 0.0
       569                 5.4
       568                 7.2
       564                 9.1
       561                18.5
exec #8
       571                 0.0
       566                 6.0
       564                16.1
       563                17.0
       562                19.7
       561                21.1
exec #9
       571                 0.0
       567                 3.6
       566                12.8
       564                12.9
       563                14.5
       562                15.9
       561                20.8
exec #10
       571                 0.0
       570                 1.4
       568                 4.6
       567                 5.7
       565                 9.9
       564                12.1
       563                12.5
       562                14.1
       561                17.5

solutions/BRKGA/R09_08_02_01             561             558             560             561             561             558             561             561             561             561       36002.188
