        UB            Time(s)
exec #1
       495                 0.0
       486                 1.1
       466                32.8
exec #2
       495                 0.0
       486                 1.2
       466                 1.6
exec #3
       495                 0.0
       486                 1.1
       466                 1.7
exec #4
       495                 0.0
       486                 1.2
       466                 1.5
exec #5
       495                 0.0
       486                 1.2
       466                 1.6
exec #6
       495                 0.0
       486                 1.2
       466                 1.6
exec #7
       495                 0.0
       466                 1.3
exec #8
       495                 0.0
       493                 1.1
       466                 1.5
exec #9
       495                 0.0
       466                 1.3
exec #10
       495                 0.0
       466                 1.1

solutions/BRKGA/R07_06_03_20             466             466             466             466             466             466             466             466             466             466       36001.456
