        UB            Time(s)
exec #1
       671                 0.0
       669              2432.7
       667              2459.3
       665              2494.3
       661              2711.7
       659              2766.6
       657              2953.8
       655              3131.2
       651              3395.9
       649              3401.2
exec #2
       671                 0.0
       669              1904.1
       667              1937.9
       665              1954.9
       663              1977.2
       661              1984.1
       657              1984.9
       653              2696.1
       651              2703.1
       649              2719.3
       647              2722.8
       645              2730.4
exec #3
       671                 0.0
       670              2086.2
       666              2128.3
       660              2167.3
       659              2208.9
       657              2212.0
       654              2238.2
       649              2267.1
       648              2279.4
       647              2285.5
       646              2288.5
       644              2292.1
       640              2296.5
       639              2331.5
exec #4
       671                 0.0
       663               925.1
       661              1091.4
       659              1099.0
       657              1116.4
       655              1136.7
       653              1248.7
       651              1275.3
       649              1275.8
       648              1277.5
       647              1283.1
exec #5
       671                 0.0
       669               550.9
       667               556.2
       665               567.9
       663               901.1
       661               979.7
       659              1059.8
       655              1073.8
       652              1207.5
       651              1224.1
       649              1870.6
       647              2035.9
exec #6
       671                 0.0
       669              2628.8
       667              2647.2
       665              2673.5
       661              2692.8
       659              2768.0
       655              2981.4
       653              3105.3
       651              3115.6
       649              3123.8
exec #7
       671                 0.0
       670              2180.8
       669              2203.8
       663              2205.1
       662              2236.3
       661              2259.3
       659              2291.5
       657              2559.2
       655              2906.6
       653              3374.8
exec #8
       671                 0.0
       669               485.0
       667               488.0
       665               534.9
       661               536.2
       659               579.9
       657               591.5
       655              1618.5
       654              1711.1
       652              1775.2
       647              1780.6
       645              1840.3
       643              1903.6
exec #9
       671                 0.0
       667              1690.4
       665              1755.1
       663              1756.8
       659              1814.7
       655              1820.7
       653              1840.5
       651              1840.9
       647              1851.2
       644              2995.6
       643              3016.6
exec #10
       671                 0.0
       669              1493.8
       664              1690.1
       663              1776.7
       661              1843.7
       655              1913.4
       653              1992.0
       649              2006.3
       647              2044.9
       643              2045.7
       641              2064.1
       639              2070.8
       637              2085.5
       635              2608.8
       633              2628.1
       631              2635.5
       629              2921.1
       627              2927.8
       625              2930.3
       623              2955.9

solutions/BRKGA/R09_10_05_02             649             645             639             647             647             649             653             643             643             623       36006.712
