        UB            Time(s)
exec #1
       622                 0.0
       617                 1.1
       613                 2.2
       612              2157.9
       610              2161.9
       600              2166.6
exec #2
       622                 0.0
       616                 2.8
       613                 3.0
       609               712.1
       606               718.7
       603               731.0
       597               755.1
exec #3
       622                 0.0
       619                 2.0
       616                 2.3
       613                 2.7
       602              2217.3
       600              2222.1
exec #4
       622                 0.0
       617                 1.7
       616                 3.3
       613                 3.7
       602                39.2
       600                45.9
exec #5
       622                 0.0
       613                 2.4
       597                 4.2
exec #6
       622                 0.0
       621                 1.8
       615                 1.9
       613                 3.2
       608               119.1
       600              1331.1
       598              1334.6
       597              1434.9
exec #7
       622                 0.0
       609                 2.2
       607                 4.2
       605                 5.1
       600                 5.2
       598                 7.4
       597               122.6
exec #8
       622                 0.0
       619                 2.0
       618                 2.8
       607                 3.4
       602                22.8
       600                30.3
exec #9
       622                 0.0
       608                 1.2
       600                 3.8
exec #10
       622                 0.0
       617                 2.1
       615                 2.9
       613                 3.4
       610                 4.0
       608                 5.2
       597              1354.3

solutions/BRKGA/R05_10_01_05             600             597             600             600             597             597             597             600             600             597       36002.348
