        UB            Time(s)
exec #1
       980                 0.0
exec #2
       980                 0.0
exec #3
       980                 0.0
       963              2747.9
       937              3327.7
       925              3503.0
exec #4
       980                 0.0
exec #5
       980                 0.0
exec #6
       980                 0.0
exec #7
       980                 0.0
exec #8
       980                 0.0
exec #9
       980                 0.0
exec #10
       980                 0.0

solutions/BRKGA/R05_15_15_01             980             980             925             980             980             980             980             980             980             980       36035.556
