        UB            Time(s)
exec #1
       601                 0.0
       600                 0.1
       597                 0.5
       594                 0.5
       590                 0.8
       585                 0.9
       578                 0.9
       568                 1.1
exec #2
       601                 0.0
       582                 0.3
       576                 0.6
       568                 0.9
exec #3
       601                 0.0
       598                 0.3
       585                 0.6
       582                 0.8
       568                 0.9
exec #4
       601                 0.0
       597                 0.3
       587                 0.4
       576                 0.5
       568                 1.1
exec #5
       601                 0.0
       595                 0.5
       568                 0.7
exec #6
       601                 0.0
       587                 0.4
       568                 0.6
exec #7
       601                 0.0
       588                 0.5
       585                 0.6
       584                 0.9
       582                 1.1
       578                 1.2
       568                 1.2
exec #8
       601                 0.0
       598                 0.5
       583                 0.6
       568                 0.7
exec #9
       601                 0.0
       599                 0.7
       587                 0.9
       583                 1.1
       568                 1.1
exec #10
       601                 0.0
       596                 0.5
       584                 0.7
       582                 1.2
       568                 1.2

solutions/BRKGA/R06_06_02_10             568             568             568             568             568             568             568             568             568             568       36001.188
