        UB            Time(s)
exec #1
      1199                 0.0
      1193                 9.9
      1182                10.9
      1170                12.2
      1162               111.4
exec #2
      1199                 0.0
      1186                12.3
      1182                13.8
      1177                14.3
      1170                15.8
      1162                81.4
exec #3
      1199                 0.0
      1190                11.7
      1170                12.2
      1162               164.5
exec #4
      1199                 0.0
      1198                12.6
      1190                13.5
      1186                13.9
      1170                14.9
      1162                21.6
exec #5
      1199                 0.0
      1190                13.8
      1184                14.3
      1182                14.8
      1177                15.3
      1170                16.4
      1162               169.6
exec #6
      1199                 0.0
      1186                13.3
      1177                14.3
      1170                15.7
      1162               168.4
exec #7
      1199                 0.0
      1196                12.5
      1178                13.5
      1170                15.5
      1162                19.8
exec #8
      1199                 0.0
      1177                12.1
      1170                13.1
      1169               109.8
      1162               114.2
exec #9
      1199                 0.0
      1186                 8.6
      1170                13.1
      1162               141.7
exec #10
      1199                 0.0
      1198                11.0
      1182                13.0
      1178                13.5
      1170                14.5
      1162               293.6

solutions/BRKGA/R08_20_01_10            1162            1162            1162            1162            1162            1162            1162            1162            1162            1162       36007.801
