        UB            Time(s)
exec #1
       885                 0.0
       882                46.2
       880                48.7
       875                49.3
       862                49.9
       852                50.6
       849                53.1
       839                53.7
       829                54.3
       824                55.6
       815               243.1
       813               256.5
       812               264.5
exec #2
       885                 0.0
       883                37.1
       864                39.5
       859                42.0
       852                42.7
       839                43.3
       824                45.5
       823                50.4
       813                50.9
       812               224.0
       804              2445.7
exec #3
       885                 0.0
       882                45.4
       869                47.3
       854                47.9
       834                48.5
       824                51.6
       815                82.1
       812              2990.2
       810              3245.3
       804              3255.1
exec #4
       885                 0.0
       866                50.2
       862                51.5
       847                52.1
       834                53.9
       829                54.5
       824                55.8
       820                58.2
       815                59.4
       812              1345.0
       809              1628.8
       804              2239.1
exec #5
       885                 0.0
       876                36.7
       872                38.0
       849                39.2
       834                41.5
       829                42.7
       824                43.3
       815               503.9
exec #6
       885                 0.0
       882                39.5
       879                40.8
       877                41.4
       863                42.1
       844                42.7
       839                44.6
       824                45.5
       813                53.7
       805              3495.1
exec #7
       885                 0.0
       864                59.0
       844                62.4
       834                63.6
       829                64.9
       824                66.7
       820               260.9
       815               263.9
exec #8
       885                 0.0
       859               202.9
       852               222.0
       851               225.1
       849               232.6
       836               233.2
       834               233.8
       826               238.8
       821               245.0
       816               334.6
       811               368.9
exec #9
       885                 0.0
       878                34.1
       854                39.1
       849                41.6
       839                42.2
       834                44.0
       829                44.6
       824                45.2
       813               588.1
       812               798.5
       810              2761.1
       809              2770.1
exec #10
       885                 0.0
       870                62.1
       867                62.7
       854                63.3
       849                65.2
       834                65.8
       829                68.9
       820                70.1
       815                71.9
       812               244.7
       807               265.5
       804               295.3

solutions/BRKGA/R08_12_04_05             812             804             804             804             815             805             815             811             809             804       36010.551
