        UB            Time(s)
exec #1
      1048                 0.0
      1040                31.0
      1025                32.3
      1024                34.9
      1020                36.2
      1015                37.5
      1010                39.4
      1005               495.7
exec #2
      1048                 0.0
      1025                33.7
      1020                36.9
      1010                38.8
      1005               173.3
exec #3
      1048                 0.0
      1041                32.8
      1040                33.4
      1024                36.0
      1020                40.8
      1015                41.4
      1010                42.6
exec #4
      1048                 0.0
      1045                30.8
      1029                31.5
      1024                32.7
      1020                35.2
      1015                37.1
      1010                41.0
      1005               180.4
exec #5
      1048                 0.0
      1030                28.9
      1024                30.1
      1020                33.6
      1015                35.3
      1010                46.3
exec #6
      1048                 0.0
      1029                38.2
      1024                41.9
      1020                43.6
      1015                46.1
      1010                49.6
      1005              2249.5
exec #7
      1048                 0.0
      1044                31.8
      1039                32.4
      1035                33.6
      1024                34.3
      1020                34.9
      1015                37.8
      1010                43.9
exec #8
      1048                 0.0
      1044                39.3
      1035                40.5
      1034                41.1
      1029                41.8
      1024                43.0
      1020                44.8
      1015                46.0
      1010                48.3
      1005              1853.5
exec #9
      1048                 0.0
      1039                35.1
      1029                37.0
      1024                38.2
      1010                40.7
      1005              1118.1
exec #10
      1048                 0.0
      1031                39.1
      1010                40.3
      1005               512.6

solutions/BRKGA/R08_15_03_05            1005            1005            1010            1005            1010            1005            1010            1005            1005            1005       36009.533
