        UB            Time(s)
exec #1
       872                 0.0
       856                 6.4
       853                 6.6
       838                 6.8
       835                 7.5
exec #2
       872                 0.0
       855                 6.2
       835                 6.8
exec #3
       872                 0.0
       858                 6.8
       850                 7.0
       838                 7.4
       835                 7.6
exec #4
       872                 0.0
       860                 4.8
       838                 5.4
       835                 6.5
exec #5
       872                 0.0
       871                 6.6
       860                 6.8
       854                 7.0
       838                 7.3
       835                 7.5
exec #6
       872                 0.0
       838                 6.7
       835                 7.7
exec #7
       872                 0.0
       844                 8.0
       835                 8.5
exec #8
       872                 0.0
       856                 6.6
       851                 8.1
       835                 8.3
exec #9
       872                 0.0
       861                 6.0
       851                 6.9
       838                 7.1
       835                 7.4
exec #10
       872                 0.0
       861                 5.6
       851                 5.8
       835                 6.3

solutions/BRKGA/R06_10_02_20             835             835             835             835             835             835             835             835             835             835       36003.704
