        UB            Time(s)
exec #1
       495                 0.0
       466                 2.5
exec #2
       495                 0.0
       466                 2.4
exec #3
       495                 0.0
       466                 2.6
exec #4
       495                 0.0
       486                 2.3
       466                 2.4
exec #5
       495                 0.0
       493                 2.5
       466                 2.6
exec #6
       495                 0.0
       486                 1.7
       466                 2.4
exec #7
       495                 0.0
       466                 2.0
exec #8
       495                 0.0
       466                 2.7
exec #9
       495                 0.0
       486                 1.8
       466                 2.5
exec #10
       495                 0.0
       466                 1.9

solutions/BRKGA/R07_06_04_20             466             466             466             466             466             466             466             466             466             466       36001.995
