        UB            Time(s)
exec #1
       904                 0.0
       896                50.3
       894                54.5
       888                66.9
       884                68.2
       878                75.8
       869                97.0
       868               114.0
       859               125.4
       857               129.8
       853               131.5
       838               156.1
       834               160.7
       831               176.4
       828               177.7
       819               181.6
       809               183.7
       808               192.3
       798               194.9
       796               197.8
       794               209.8
       792               210.3
exec #2
       904                 0.0
       887                39.1
       885                42.2
       879                44.0
       870                44.9
       862                46.2
       861                51.5
       855                56.4
       846                59.9
       834                70.1
       813                82.4
       809               103.9
       807               125.3
       805               127.0
       801               129.2
       799               141.4
       797               155.3
       793               168.8
       790               682.0
       788               688.5
exec #3
       904                 0.0
       872                16.7
       860                39.0
       838                47.3
       819                62.2
       815                95.0
       809                96.8
       805               104.9
       803               116.8
       801               119.3
       791               120.6
       785               131.9
       783               143.9
       782               149.3
       779               152.6
       778               160.7
       777               165.3
exec #4
       904                 0.0
       889                25.9
       874                26.7
       870                52.1
       859                55.6
       841                57.4
       830                71.3
       829                75.2
       818                83.1
       804                93.0
       800               107.6
       798               117.9
       794               120.0
       792               125.1
       790               614.9
       788              1212.6
exec #5
       904                 0.0
       899                11.7
       879                13.4
       870                18.9
       860                24.9
       852                27.1
       829                32.3
       819                46.4
       817                54.1
       815                58.9
       809                63.1
       803                67.6
       801                74.0
       800                76.1
       799                79.4
       798                82.7
       796                84.8
       794                92.0
       792                93.3
       790               297.6
       788               304.1
exec #6
       904                 0.0
       870                31.1
       866                53.9
       865               112.3
       858               113.5
       854               128.3
       852               130.4
       845               135.5
       840               144.6
       837               158.9
       810               160.6
       806               174.0
       804               182.2
       802               182.6
       800               186.4
       795               192.3
       791               199.0
       785               207.4
       783               208.6
       781               210.3
       779               212.0
       777               224.4
exec #7
       904                 0.0
       901                33.6
       892                61.0
       870                70.1
       862                98.7
       860               197.1
       851               204.8
       839               244.2
       833               355.2
       828               357.3
       827               361.6
       820               423.5
       816               443.7
       814               451.9
       813               462.2
       812               478.5
       810               482.3
       808               485.2
       803               500.4
       801               513.4
       798               518.1
       797               523.6
       795               533.4
       793               538.4
       791               548.6
       789               559.0
       787               581.8
       785               593.8
       784               699.5
       780               713.9
       778               719.3
       773               840.0
       771              1131.6
       769              1148.7
       767              1734.3
exec #8
       904                 0.0
       902                18.5
       868                18.9
       845                33.4
       827                42.5
       822                58.8
       816                59.6
       805                65.5
       802                75.5
       798                75.9
       796                86.0
       794                88.6
       792                99.2
exec #9
       904                 0.0
       898                21.9
       883                27.0
       877                29.7
       876                30.5
       860                32.6
       856                33.4
       853                36.8
       852                40.1
       843                40.5
       839                41.4
       834                43.0
       830                48.1
       828                49.8
       817                55.8
       813                57.9
       807                61.1
       805                63.9
       801                73.4
       799                89.8
       797                96.0
       792               285.2
exec #10
       904                 0.0
       893                16.0
       887                24.6
       876                33.2
       873                34.1
       868                48.7
       823                51.8
       810                96.8
       807               105.2
       803               116.7
       785               123.3
       783               150.5
       779               155.3
       777               164.1

solutions/BRKGA/R06_12_03_02             792             788             777             788             788             777             767             792             792             777       36007.012
