        UB            Time(s)
exec #1
       557                 0.0
       541                83.6
       537              1311.8
exec #2
       557                 0.0
       553               161.7
       551               170.0
       546               170.8
       541               171.1
       537               803.1
exec #3
       557                 0.0
       553                12.2
       551                13.6
       541                15.9
       537               457.4
exec #4
       557                 0.0
       541                22.7
       537               258.3
exec #5
       557                 0.0
       541               132.8
       537              2428.3
exec #6
       557                 0.0
       541                87.8
       537               817.2
exec #7
       557                 0.0
       541                10.4
       537               331.4
exec #8
       557                 0.0
       553               170.5
       541               174.4
       537               263.0
exec #9
       557                 0.0
       541                14.4
       537               385.8
exec #10
       557                 0.0
       541               117.6
       537               679.7

solutions/BRKGA/R07_08_08_10             537             537             537             537             537             537             537             537             537             537       36004.472
