        UB            Time(s)
exec #1
       571                 0.0
       569                12.0
       566                13.0
       565                15.8
exec #2
       571                 0.0
       569                10.3
       568                11.0
       567                11.1
       565                12.2
exec #3
       571                 0.0
       569                 7.1
       567                 9.7
       566                10.0
       565                10.6
exec #4
       571                 0.0
       568                 6.1
       566                12.4
       565                27.9
exec #5
       571                 0.0
       569                10.5
       568                11.3
       565                11.7
exec #6
       571                 0.0
       570                 7.3
       567                 7.8
       566                 9.7
       565                10.0
exec #7
       571                 0.0
       569                10.7
       567                11.8
       566                12.0
       565                12.2
exec #8
       571                 0.0
       570                 8.2
       569                 9.8
       567                10.4
       566                11.3
       565                11.5
exec #9
       571                 0.0
       569                 5.7
       568                11.8
       565                12.5
exec #10
       571                 0.0
       570                 7.5
       568                 8.7
       567                11.4
       565                12.9

solutions/BRKGA/R09_08_02_02             565             565             565             565             565             565             565             565             565             565       36001.857
