        UB            Time(s)
exec #1
       752                 0.0
       749                 0.0
       736                 0.3
       716                 0.4
       707                 0.4
       698                 0.5
exec #2
       752                 0.0
       709                 0.1
       698                 0.8
exec #3
       752                 0.0
       731                 0.0
       725                 0.3
       707                 0.6
       698                 0.9
exec #4
       752                 0.0
       748                 0.2
       740                 0.3
       739                 0.4
       729                 0.4
       715                 0.6
       712                 0.7
       707                 0.8
       698                 1.1
exec #5
       752                 0.0
       738                 0.2
       733                 0.3
       725                 0.3
       715                 0.5
       698                 0.7
exec #6
       752                 0.0
       737                 0.1
       736                 0.4
       707                 0.5
       698                 1.0
exec #7
       752                 0.0
       730                 0.2
       718                 0.4
       714                 0.7
       711                 0.9
       710                 1.0
       703                 1.1
       698                 1.3
exec #8
       752                 0.0
       750                 0.2
       738                 0.2
       737                 0.5
       722                 0.6
       718                 0.8
       712                 0.9
       711                 1.2
       698                 1.3
exec #9
       752                 0.0
       725                 0.0
       716                 0.2
       712                 0.7
       711                 0.9
       707                 0.9
       701                 1.0
       698                 1.1
exec #10
       752                 0.0
       747                 0.1
       729                 0.3
       716                 0.4
       711                 1.0
       703                 1.2
       698                 1.5

solutions/BRKGA/R08_08_01_10             698             698             698             698             698             698             698             698             698             698       36001.223
