        UB            Time(s)
exec #1
       797                 0.0
       785                 0.2
       767                 0.4
       765                 0.6
       760                 1.0
       749                 1.4
       748                 1.7
       724                 2.0
       715                 3.2
       707                 3.6
       700                 4.7
       697                 4.8
       692                 5.2
exec #2
       797                 0.0
       784                 0.4
       766                 0.7
       753                 1.1
       752                 1.2
       746                 1.5
       743                 1.6
       719                 1.9
       710                 2.3
       707                 3.1
       693                 3.5
       685                 4.0
       680                15.8
exec #3
       797                 0.0
       793                 0.1
       781                 0.3
       776                 0.4
       758                 0.5
       707                 0.8
       692                 2.6
       682              1767.9
       680              1781.4
exec #4
       797                 0.0
       755                 0.1
       752                 0.9
       751                 1.6
       739                 1.7
       730                 2.2
       711                 2.3
       692                 3.8
exec #5
       797                 0.0
       778                 0.3
       753                 0.8
       748                 1.6
       714                 1.9
       707                 3.2
       692                 3.6
exec #6
       797                 0.0
       795                 0.1
       772                 0.2
       741                 0.4
       735                 1.2
       720                 1.8
       718                 3.1
       714                 3.6
       704                 4.5
       688                 5.4
       685                 6.8
       682                16.6
       680                19.1
exec #7
       777                 0.0
       774                 0.2
       771                 0.5
       716                 0.6
       711                 2.0
       707                 2.4
       704                 2.8
       695                 2.9
       688                 3.6
       685                 3.8
       680                78.8
exec #8
       797                 0.0
       795                 0.1
       765                 0.3
       752                 0.8
       704                 0.9
       693                 1.7
       685                 2.1
       682                 2.9
       680                 8.0
exec #9
       797                 0.0
       779                 0.3
       771                 0.8
       753                 1.1
       744                 1.2
       725                 1.4
       723                 1.8
       695                 1.9
       685                 2.7
       682                 4.5
       680                 9.8
exec #10
       797                 0.0
       783                 0.0
       777                 0.3
       745                 0.4
       743                 1.2
       696                 1.9
       695                 3.5
       692                 3.6
       685                 4.2
       682                13.2
       680                16.2

solutions/BRKGA/R08_10_01_00             692             680             680             692             692             680             680             680             680             680       36002.045
