        UB            Time(s)
exec #1
       571                 0.0
       570               325.4
       566               325.6
       565               328.4
exec #2
       571                 0.0
       567               116.8
exec #3
       571                 0.0
       570               352.7
       568               357.2
       565               369.4
       564               380.0
       563               384.7
       562               385.2
exec #4
       571                 0.0
       568               202.6
       567               205.8
       565               206.2
exec #5
       571                 0.0
       569               100.7
       568               103.0
       565               103.6
exec #6
       571                 0.0
       568               500.9
       566               507.9
       564               531.2
exec #7
       571                 0.0
       566               696.5
       565               726.3
exec #8
       571                 0.0
       567               918.8
       566               921.8
       565               942.2
       564               943.1
exec #9
       571                 0.0
       570               296.8
       566               301.0
exec #10
       571                 0.0
       568              1722.9
       566              1726.6
       565              1728.7

solutions/BRKGA/R09_08_04_02             565             567             562             565             565             564             565             564             566             565       36003.436
