        UB            Time(s)
exec #1
       557                 0.0
       553                 9.4
       546                10.1
       527                10.7
       526                11.7
       521                11.9
exec #2
       557                 0.0
       551                 7.0
       521                 7.5
exec #3
       557                 0.0
       546                 7.0
       541                 7.5
       528                 7.9
       521                 8.3
exec #4
       557                 0.0
       543                 8.4
       541                 9.1
       538                 9.3
       521                 9.5
exec #5
       557                 0.0
       556                10.0
       554                11.4
       551                11.6
       541                11.8
       526                12.0
       521                12.8
exec #6
       557                 0.0
       547                 9.9
       542                10.2
       541                10.4
       528                10.6
       521                11.1
exec #7
       557                 0.0
       551                 9.0
       548                 9.2
       544                 9.4
       537                 9.6
       521                 9.8
exec #8
       557                 0.0
       541                 7.1
       521                 7.5
exec #9
       557                 0.0
       556                 7.6
       550                 7.8
       546                 8.1
       543                 8.3
       521                 8.7
exec #10
       557                 0.0
       546                 5.4
       528                 5.8
       521                 6.3

solutions/BRKGA/R07_08_04_10             521             521             521             521             521             521             521             521             521             521       36003.474
