        UB            Time(s)
exec #1
      1048                 0.0
      1045                17.2
exec #2
      1048                 0.0
      1045                19.2
exec #3
      1048                 0.0
      1045                19.9
exec #4
      1048                 0.0
      1045                18.8
exec #5
      1048                 0.0
      1045                20.7
exec #6
      1048                 0.0
      1045                19.6
exec #7
      1048                 0.0
      1045                20.6
exec #8
      1048                 0.0
      1045                19.8
exec #9
      1048                 0.0
      1045                14.8
exec #10
      1048                 0.0
      1045                19.9

solutions/BRKGA/R08_15_03_20            1045            1045            1045            1045            1045            1045            1045            1045            1045            1045       36009.693
