        UB            Time(s)
exec #1
       752                 0.0
       751                22.3
       741                23.1
       709                23.7
       704                26.9
       699                28.1
       691                29.5
       686                29.8
       677                30.7
       676                31.4
       671                31.7
       669                32.4
       664                32.9
       654                34.4
       644                35.4
       641                35.7
       634                39.2
exec #2
       752                 0.0
       749                22.9
       739                31.0
       734                45.3
       731                47.0
       713                50.4
       699                57.8
       679                73.7
       669                79.2
       659                92.0
       649                93.8
       644                96.9
       639                97.8
       634               102.2
exec #3
       752                 0.0
       729                39.7
       727                52.3
       716                53.2
       704                63.5
       699                75.9
       698                79.4
       694                80.3
       684                84.2
       669                90.8
       663                97.3
       659               101.5
       654               103.4
       649               104.2
       644               104.4
       639               114.3
exec #4
       752                 0.0
       718                14.0
       714                16.7
       689                17.0
       674                18.1
       649                20.8
       639                26.5
       634                28.5
exec #5
       752                 0.0
       749                33.8
       748                36.2
       741                39.9
       739                41.9
       734                45.6
       714                45.9
       696                46.5
       684                70.7
       674                74.2
       666                79.9
       664                83.4
       649                85.9
       644                87.3
       641                94.4
       639                96.4
       634                97.0
exec #6
       752                 0.0
       748                38.4
       746                41.5
       736                43.3
       724                48.1
       719                50.9
       709                53.9
       699                54.4
       694                59.8
       689                67.0
       684                69.2
       679                74.6
       664                78.3
       649                83.9
       644                95.2
       639                97.8
       634               103.8
exec #7
       752                 0.0
       751                14.7
       728                15.2
       694                15.7
       693                17.5
       684                18.1
       671                18.4
       669                19.5
       661                20.1
       659                20.9
       656                21.9
       651                22.2
       649               828.3
       634              1104.7
exec #8
       752                 0.0
       749                12.2
       739                23.8
       738                25.5
       728                26.1
       724                26.5
       719                26.7
       703                26.9
       698                27.5
       674                28.0
       669                29.4
       664                30.5
       656                31.4
       651                32.8
       646                33.0
       636                36.2
       634               549.5
exec #9
       752                 0.0
       751                34.1
       749                39.4
       748                46.2
       734                49.2
       724                55.7
       721                67.5
       719                68.6
       710                73.8
       706                76.9
       689                80.5
       684                99.7
       666               100.9
       661               108.6
       656               108.9
       654               110.9
       651               111.5
       644               112.1
       639               121.2
       634               148.6
exec #10
       752                 0.0
       739                28.0
       731                40.7
       729                41.8
       719                48.1
       716                52.9
       704                57.0
       696                62.6
       691                68.1
       671                69.0
       656                73.2
       651                88.7
       646                90.4
       641                97.9
       636               101.8
       634               104.9

solutions/BRKGA/R08_08_08_05             634             634             639             634             634             634             634             634             634             634       36004.167
