        UB            Time(s)
exec #1
       797                 0.0
       787                 0.0
       776                 1.2
       731                 1.6
       728                 3.1
       708                 3.9
       682                10.8
       676                22.5
       666                24.0
       663                26.8
       653                38.7
       642                68.4
       638                76.4
       623               130.0
exec #2
       797                 0.0
       768                 0.0
       738                 1.6
       723                 5.5
       708                 8.3
       697                 8.7
       694                10.2
       692                16.1
       682                20.5
       672                21.6
       671                25.2
       667                26.8
       665                27.9
       663                30.7
       662                31.0
       647                32.6
       641                61.6
       623                90.6
exec #3
       797                 0.0
       778                 0.0
       747                 1.1
       734                 1.9
       718                 3.6
       696                 9.9
       657                11.4
       638                69.1
       623               156.5
exec #4
       778                 0.0
       774                 0.8
       745                 1.5
       736                 3.9
       714                 4.7
       680                 6.8
       673                28.0
       644                30.3
       638                49.8
       637                54.2
       628                64.6
       623               193.3
exec #5
       791                 0.0
       769                 0.0
       768                 1.6
       748                 2.0
       746                 3.6
       733                 4.0
       685                 4.8
       672                18.3
       656                26.9
       646                35.1
       639                54.3
       628                68.8
       623                87.8
exec #6
       797                 0.0
       763                 0.0
       743                 3.3
       725                 3.7
       690                 8.5
       674                13.8
       671                22.8
       659                26.9
       644                30.5
       643                46.1
       628                70.2
       623               181.1
exec #7
       780                 0.0
       759                 0.8
       733                 1.1
       726                 3.0
       694                 4.5
       662                 6.0
       634                13.1
       623               105.8
exec #8
       769                 0.0
       763                 0.8
       708                 1.6
       695                 5.5
       672                14.1
       670                32.9
       656                37.2
       651                43.5
       643                48.0
       628                96.4
       623               125.6
exec #9
       777                 0.0
       753                 0.7
       747                 1.5
       729                 1.9
       697                 2.7
       694                18.8
       685                21.6
       684                23.6
       664                24.8
       661                28.0
       660                31.6
       647                32.0
       643                53.1
       641                81.6
       634                93.5
       623               130.0
exec #10
       785                 0.0
       765                 0.0
       764                 2.8
       749                 3.2
       743                 3.6
       735                 4.8
       729                 5.2
       724                 7.6
       720                11.2
       714                12.4
       702                13.2
       680                15.5
       666                17.5
       662                38.4
       652                44.7
       628                53.5
       623               202.2

solutions/BRKGA/R08_10_04_00             623             623             623             623             623             623             623             623             623             623       36005.860
