        UB            Time(s)
exec #1
       461                 0.0
       453                 0.5
       452                 1.5
       451                 1.7
       450                 4.2
       447                 6.9
       445                25.0
       444                30.5
       443                39.7
       442                42.6
       440                45.1
       439                50.1
       438                52.3
       436                53.1
       434                61.2
exec #2
       475                 0.0
       458                 0.0
       456                 0.2
       454                 0.3
       451                 0.7
       449                 3.6
       444                 5.5
       443                19.7
       442                39.1
       441                42.2
       440                42.9
       439                44.0
       437                44.8
       435                46.1
       434                47.2
exec #3
       479                 0.0
       472                 0.0
       456                 0.1
       455                 0.5
       454                 0.9
       453                 1.2
       452                 1.7
       449                 2.5
       448                 5.4
       447                 9.9
       446                24.8
       445                27.0
       444                27.4
       443                36.9
       442                39.5
       440                43.9
       439                51.9
       438                56.9
       435                62.1
exec #4
       481                 0.0
       457                 0.0
       456                 0.2
       455                 0.6
       453                 0.7
       452                 0.9
       451                 1.3
       450                 2.2
       448                 2.4
       447                 8.4
       444                19.4
       443                27.7
       442                31.7
       441                34.5
       437                39.0
       436                45.1
       434                45.9
exec #5
       455                 0.0
       454                 0.9
       452                 1.2
       450                 4.3
       449                 5.6
       447                 6.1
       446                11.8
       445                16.3
       443                25.2
       442                29.8
       441                32.9
       439                33.2
       437                40.9
       436                43.9
       434                45.6
exec #6
       486                 0.0
       461                 0.0
       455                 0.3
       454                 0.6
       453                 0.9
       450                 1.7
       448                 5.5
       447                17.3
       446                19.4
       445                33.4
       441                40.6
       439                50.9
       438                56.5
       437                59.2
       436                59.3
       435                60.8
       434                61.1
exec #7
       463                 0.0
       454                 0.2
       452                 0.9
       450                 1.4
       449                 7.2
       447                12.2
       445                12.3
       444                22.9
       443                30.6
       441                36.2
       440                41.5
       438                43.0
       437                45.1
       436                46.9
       434                48.3
exec #8
       464                 0.0
       461                 0.2
       454                 0.4
       447                 1.1
       446                13.8
       445                18.4
       444                20.9
       443                24.2
       441                31.7
       439                39.5
       438                43.7
       435                45.1
       434                47.4
exec #9
       481                 0.0
       465                 0.0
       463                 0.1
       457                 0.2
       454                 0.4
       453                 1.0
       448                 1.5
       447                12.7
       446                13.5
       445                16.1
       443                18.0
       442                25.0
       441                29.2
       440                31.4
       439                32.5
       436                35.7
       435                40.2
       434                40.3
exec #10
       454                 0.0
       451                 1.3
       448                 1.8
       446                 9.1
       444                10.2
       441                24.9
       438                31.5
       437                36.5
       436                37.3
       435                59.7
       434               102.7

solutions/BRKGA/R07_06_06_01             434             434             435             434             434             434             434             434             434             434       36001.721
