        UB            Time(s)
exec #1
       503                 0.0
       493                 0.2
exec #2
       518                 0.0
       504                 0.0
       493                 0.1
exec #3
       504                 0.0
       503                 0.0
       497                 0.0
       493                 0.1
exec #4
       524                 0.0
       508                 0.0
       497                 0.1
       494                 0.1
       493                 0.2
exec #5
       507                 0.0
       504                 0.0
       503                 0.0
       497                 0.1
       493                 0.2
exec #6
       534                 0.0
       513                 0.0
       503                 0.0
       493                 0.2
exec #7
       503                 0.0
       498                 0.0
       497                 0.2
       493                 0.2
exec #8
       524                 0.0
       493                 0.0
exec #9
       536                 0.0
       504                 0.0
       498                 0.0
       497                 0.1
       493                 0.1
exec #10
       493                 0.0

solutions/BRKGA/R08_06_01_05             493             493             493             493             493             493             493             493             493             493       36000.805
