        UB            Time(s)
exec #1
       722                 0.0
       717                 3.1
       714                 5.1
       710                 5.7
       707                 5.8
       695                 6.0
       694                 6.9
exec #2
       722                 0.0
       706                 4.0
       701                 4.9
       692                 5.1
       689                 6.5
       687                 6.7
       678                 7.0
       677                 8.1
       675                68.4
exec #3
       722                 0.0
       720                 4.0
       718                 4.5
       687                 4.7
       680                 5.8
       672                 8.3
       667                36.6
       662                36.8
exec #4
       722                 0.0
       721                 4.0
       715                 4.2
       713                 4.3
       706                 4.5
       696                 5.2
       693                 5.3
       684                 5.5
       683                 6.3
       681                 6.8
       675                 7.2
exec #5
       722                 0.0
       716                 3.9
       713                 5.0
       711                 5.2
       710                 5.6
       700                 5.7
       694                 6.3
exec #6
       722                 0.0
       707                 4.4
       702                 5.9
       701                 6.4
       691                 7.0
       689                 7.6
       678                 7.8
       677                 8.5
exec #7
       722                 0.0
       716                 2.1
       706                 3.1
       703                 3.6
       702                 3.9
       687                 4.3
       683                 4.7
       682                 5.2
       680                 5.4
       677                 6.2
       675                 6.5
exec #8
       722                 0.0
       714                 3.1
       710                 3.5
       698                 3.7
       697                 4.5
       695                 5.6
       694                 6.0
exec #9
       722                 0.0
       715                 3.5
       703                 3.9
       697                 4.6
       695                 5.9
       694                 6.1
exec #10
       722                 0.0
       691                 1.9
       681               123.7
       680               202.2
       678               230.8
       675               233.2

solutions/BRKGA/R05_12_01_05             694             675             662             675             694             677             675             694             694             675       36002.749
