        UB            Time(s)
exec #1
       571                 0.0
       570                44.9
       569                46.4
       568                48.0
       565                48.9
exec #2
       571                 0.0
       569                40.9
       565                41.8
exec #3
       571                 0.0
       570                54.6
       566                57.2
       565                60.5
exec #4
       571                 0.0
       565                36.4
exec #5
       571                 0.0
       565                48.3
exec #6
       571                 0.0
       570                54.0
       568                56.2
       566                57.6
       565                60.1
exec #7
       571                 0.0
       570                70.6
       569                73.2
       567                80.5
exec #8
       571                 0.0
       570                60.0
       569                60.7
       568                61.1
       566                62.0
       565                62.2
exec #9
       571                 0.0
       569                38.5
       567                43.5
       566                45.6
       565                48.0
exec #10
       571                 0.0
       570                69.5
       565                70.6

solutions/BRKGA/R09_08_03_02             565             565             565             565             565             565             567             565             565             565       36002.878
