        UB            Time(s)
exec #1
       916                 0.0
       910                19.2
       893                25.7
       887                28.5
       880                30.4
       878                33.2
       851                35.2
       832                48.3
       826                51.3
       813                53.2
       798                67.0
       792               100.9
       775               112.4
       774               145.8
       769               173.2
       752               199.5
       737               374.9
       713               538.2
       691              1872.4
exec #2
       916                 0.0
       881                33.0
       863                41.5
       817                54.8
       814                71.7
       788                73.6
       787                84.9
       778                91.9
       773               125.8
       766               170.1
       756               209.3
       755               268.7
       754               312.0
       746               333.0
       742               378.6
       725               429.7
       715               800.9
       699              1284.9
       692              2346.0
exec #3
       916                 0.0
       900                22.7
       892                30.2
       845                34.0
       776                51.0
       766                75.5
       759               199.7
       757               267.9
       754               312.6
       742               355.2
       729               381.9
       720               831.5
       719              1165.9
       716              1355.3
       712              1760.9
       710              2608.5
       706              2668.1
       704              3100.0
       692              3220.1
exec #4
       916                 0.0
       844                25.5
       842                48.3
       821                55.8
       820                60.9
       809                66.6
       797                70.4
       795                79.4
       787               101.4
       782               166.4
       771               167.3
       756               201.9
       751               261.6
       740               410.0
       695               587.7
exec #5
       916                 0.0
       911                21.2
       831                29.6
       829                75.8
       824                97.1
       822               107.0
       793               112.5
       787               176.4
       767               258.4
       763               344.7
       762               633.1
       750               787.4
       748               850.6
       731               933.0
       727              1953.1
       708              2532.7
exec #6
       916                 0.0
       874                21.4
       863                27.0
       835                33.5
       809                50.1
       800                58.5
       778               110.0
       745               133.7
       742               456.0
       741               506.0
       728               529.4
       713              1009.6
exec #7
       916                 0.0
       910                21.4
       909                25.1
       878                28.9
       862                31.7
       837                33.4
       817                41.2
       787                78.7
       766               120.7
       761               226.7
       751               361.9
       737               559.0
       730               939.1
       723              2361.2
exec #8
       916                 0.0
       908                25.7
       847                37.7
       846                50.5
       775                79.3
       757               165.8
       747               396.5
       743               430.3
       731               619.5
       712               780.2
       700               971.0
       698              2432.5
       691              3363.1
exec #9
       916                 0.0
       913                28.8
       859                31.4
       836                47.3
       817                71.2
       816                78.7
       807                80.4
       796                87.5
       788               100.3
       778               104.6
       773               147.8
       764               206.1
       756               290.7
       749               333.2
       738               375.3
       734              1277.8
       726              1962.1
       721              2535.9
       720              2713.0
exec #10
       916                 0.0
       910                12.2
       908                18.8
       900                22.6
       879                32.8
       864                34.7
       851                40.4
       806                42.2
       797                78.5
       796                87.1
       791               118.9
       783               126.1
       782               143.5
       751               175.9
       746               562.5
       743               642.0
       736               716.5
       734              1030.5
       728              1080.5
       715              1640.2
       704              2170.5

solutions/BRKGA/R07_15_04_00             691             692             692             695             708             713             723             691             720             704       36015.256
