        UB            Time(s)
exec #1
       792                 0.0
       750                 0.0
       749                 1.1
       746                 1.8
       738                 2.0
       725                 2.3
       724                 3.0
       720                 5.0
       717                 9.4
       716                17.2
       711                18.6
       708                28.6
       707                49.0
       706                52.5
       705                53.8
       703                58.0
       702                61.4
       701                64.0
       699                64.9
       697                66.4
       695                70.3
       693                73.6
       692               572.0
       691              1120.1
       689              1122.5
exec #2
       795                 0.0
       782                 0.4
       772                 0.6
       752                 1.3
       749                 1.6
       748                 2.2
       736                 3.1
       721                 5.0
       717                14.9
       713                20.9
       710                22.4
       708                31.0
       705                33.4
       701                37.8
       699                41.8
       695                43.2
       691                45.3
       689                48.5
       687                51.7
exec #3
       801                 0.0
       789                 0.2
       785                 0.6
       778                 0.7
       770                 1.1
       765                 1.3
       763                 1.8
       741                 2.6
       736                 4.4
       733                 5.0
       729                 5.2
       723                 7.0
       719                15.1
       715                18.4
       713                33.9
       703                45.2
       701                60.0
       699                64.9
       695                65.5
       691                73.7
       689               768.1
exec #4
       801                 0.0
       793                 0.4
       784                 0.7
       765                 1.1
       743                 1.3
       737                 1.7
       731                 1.9
       714                 3.9
       713                18.4
       707                27.4
       705                31.1
       703                50.7
       699                67.4
       697                71.4
       695                73.0
       691                78.8
       689                86.2
exec #5
       801                 0.0
       791                 0.2
       790                 0.4
       786                 0.7
       782                 1.1
       758                 1.8
       757                 2.0
       731                 2.9
       723                 6.4
       721                13.2
       720                14.8
       719                15.6
       718                20.0
       715                22.4
       711                25.2
       706                34.0
       703                36.9
       701                42.7
       698                46.2
       696                50.2
       694                51.6
       692                78.7
exec #6
       801                 0.0
       783                 0.0
       770                 0.2
       769                 0.4
       768                 0.9
       756                 1.1
       753                 1.4
       750                 2.8
       733                 3.1
       725                 5.6
       719                12.5
       718                18.9
       711                22.1
       709                59.0
       707                62.2
       705                63.7
       703                65.8
       701               194.6
       699               296.6
       695               299.7
       693               303.0
exec #7
       801                 0.0
       779                 0.2
       760                 0.7
       755                 1.1
       731                 1.5
       729                 7.8
       725                 8.7
       723                12.2
       719                13.2
       718                23.4
       717                23.6
       716                26.3
       714                30.9
       710                32.7
       707                45.5
       704                51.9
       702                58.7
       700                65.0
       698                68.1
       697                68.7
       691                69.4
       689                76.3
       685              1163.7
exec #8
       801                 0.0
       798                 0.0
       785                 0.5
       775                 0.7
       758                 1.1
       754                 1.9
       723                 2.9
       719                15.7
       718                20.9
       715                25.5
       714                34.8
       712                42.6
       710                45.2
       709                47.6
       708                52.3
       707                53.5
       703                54.6
       701                58.0
       700                78.0
       699                78.3
       698                80.5
       695                80.7
       693                92.3
       689                94.3
exec #9
       801                 0.0
       796                 0.0
       777                 0.3
       766                 0.5
       753                 0.7
       750                 2.5
       748                 3.7
       745                 3.9
       731                 4.0
       729                 4.7
       726                 5.1
       724                 7.8
       723                 9.5
       714                10.4
       713                27.1
       711                32.9
       710                35.1
       707                37.5
       704                37.9
       700                45.0
       698                47.6
       696                52.2
       695               166.6
       693               171.2
       689               216.5
       687               372.4
exec #10
       801                 0.0
       786                 0.2
       769                 0.5
       754                 0.7
       747                 2.7
       745                 2.9
       740                 3.6
       722                 4.5
       718                15.7
       717                16.8
       714                18.9
       711                32.8
       709                34.2
       708                45.7
       702                46.8
       701                51.9
       700                55.6
       698                56.2
       696                83.2
       694               192.3
       692               343.8

solutions/BRKGA/R06_08_03_02             689             687             689             689             692             693             685             689             687             692       36002.677
