        UB            Time(s)
exec #1
       622                 0.0
       620                 2.0
       565                 3.8
       557                25.4
       539                29.8
       527               135.6
       523               143.3
exec #2
       622                 0.0
       606                 3.4
       592                 4.6
       583                 6.3
       581                13.9
       566                16.6
       565                23.7
       551                26.0
       546                48.3
       544                70.2
       541                78.9
       538                93.6
       525               101.0
       524               355.1
       523               650.0
exec #3
       622                 0.0
       619                 3.2
       616                 3.7
       608                 4.4
       594                 5.7
       593                13.3
       587                14.0
       563                20.3
       562                39.1
       526                54.3
       525               538.5
       524               627.1
       523              1275.2
exec #4
       622                 0.0
       609                 1.8
       598                 2.4
       595                 9.4
       587                 9.9
       578                17.4
       563                27.1
       561                41.9
       558                51.9
       554                62.7
       540                77.5
       528               114.1
       525               126.8
       524               142.6
       523               640.5
exec #5
       622                 0.0
       618                 1.2
       590                 4.2
       582                11.3
       575                11.9
       567                13.2
       548                33.5
       545                59.8
       541                99.1
       533               110.7
       529               132.7
       528               242.1
       525               339.0
       524               756.6
       523               794.9
exec #6
       622                 0.0
       612                 2.4
       557                 5.3
       554                31.7
       547                34.6
       537                37.6
       525                82.0
       523               434.4
exec #7
       622                 0.0
       617                 0.0
       613                 3.0
       582                 4.2
       569                26.5
       551                34.6
       544                47.0
       540                50.6
       528                51.2
       524               312.9
       523              1805.5
exec #8
       622                 0.0
       617                 2.4
       600                 4.7
       590                 6.0
       576                 9.6
       557                17.8
       556                39.1
       550                57.6
       548                82.5
       535               108.3
       523               188.4
exec #9
       622                 0.0
       591                 0.6
       579                11.2
       569                22.6
       560                32.7
       550                39.4
       538                55.5
       536               120.0
       529               262.5
       528               280.4
       524               563.3
       523              2039.6
exec #10
       622                 0.0
       621                 1.1
       614                 4.5
       587                 5.6
       560                 6.1
       556                25.2
       551                40.8
       547                77.0
       537               119.4
       536               225.6
       526               245.4
       524               623.1
       523              1332.3

solutions/BRKGA/R05_10_10_00             523             523             523             523             523             523             523             523             523             523       36010.167
