        UB            Time(s)
exec #1
       980                 0.0
       964                10.1
       945                11.0
       923                11.5
       911                12.4
       901                13.7
       894                14.7
exec #2
       980                 0.0
       978                12.2
       975                12.6
       956                13.1
       938                13.5
       915                14.0
       908                14.5
       898                14.9
       894                18.1
exec #3
       980                 0.0
       973                 9.4
       969                11.3
       961                11.7
       945                12.2
       943                12.7
       919                13.1
       917                13.6
       908                14.9
       901                15.3
       898                16.7
       894                19.4
exec #4
       980                 0.0
       961                 7.9
       921                10.2
       901                13.0
       898                14.4
       894                17.1
exec #5
       980                 0.0
       973                 9.8
       954                10.2
       953                10.6
       935                11.1
       910                11.6
       907                12.0
       901                12.5
       898                14.3
       894                15.6
exec #6
       980                 0.0
       979                 9.0
       957                 9.4
       931                10.7
       918                11.2
       911                12.1
       901                13.5
       898                14.0
       894                17.3
exec #7
       980                 0.0
       975                 9.3
       945                 9.7
       939                11.1
       918                11.6
       898                13.0
       894                17.8
exec #8
       980                 0.0
       931                 9.3
       927                11.0
       901                11.8
       898                13.2
       894                18.5
exec #9
       980                 0.0
       947                10.1
       939                11.1
       935                12.0
       926                12.4
       913                12.8
       911                13.7
       905                14.2
       901                15.1
       898                15.6
       894                16.0
exec #10
       980                 0.0
       978                11.5
       935                12.5
       917                13.4
       898                15.3
       894                17.2

solutions/BRKGA/R05_15_02_10             894             894             894             894             894             894             894             894             894             894       36007.200
