        UB            Time(s)
exec #1
       980                 0.0
       977                16.8
       947                18.7
       940                25.0
       915                49.0
       909                56.6
       904                60.4
       903                79.4
       870                81.3
       853               118.2
       840               122.0
       821               155.8
       813               239.7
       797               582.0
       795              1176.9
       790              2555.2
       785              3591.1
exec #2
       980                 0.0
       885                13.4
       874                39.1
       861                44.2
       854                62.6
       798                95.4
       779               530.7
exec #3
       980                 0.0
       951                19.6
       945                23.2
       929                34.8
       915                37.6
       902                53.0
       884                59.6
       859                69.0
       852                89.7
       837               100.8
       830               111.5
       818               191.8
       817               231.0
       815               369.9
       778               408.5
       767              1351.2
       764              2515.3
       755              2826.8
exec #4
       980                 0.0
       952                14.0
       888                24.6
       861                44.1
       857                51.4
       851                70.3
       847               101.8
       803               108.2
       779               195.4
       778              1024.3
exec #5
       980                 0.0
       971                18.8
       966                25.4
       963                28.2
       942                31.0
       900                32.9
       859                36.7
       843                57.3
       827                78.9
       826               110.8
       825               452.7
       818               503.5
       815               555.3
       775               683.4
       772              3237.3
exec #6
       980                 0.0
       966                11.0
       961                19.1
       939                20.0
       926                21.0
       910                34.9
       903                47.9
       901                54.1
       880                55.0
       879                75.1
       861                87.1
       858                95.4
       818               104.1
       810               312.4
       794               451.5
       791               482.1
       786               634.6
       776               924.5
       774              1466.1
       768              1666.7
       766              2328.9
       738              2379.8
exec #7
       980                 0.0
       979                11.0
       952                22.8
       921                25.6
       879                28.4
       874                68.5
       868                72.2
       859                74.9
       858               105.4
       814               112.8
       797               124.0
       792               217.1
       791               245.1
       779               893.3
       725              2062.3
exec #8
       980                 0.0
       954                12.5
       948                21.8
       915                23.7
       896                30.2
       874                34.8
       872                44.1
       836                48.6
       829               172.6
       825               294.9
       821               308.1
       816               312.7
       795               396.9
       772              1191.7
       752              3300.3
exec #9
       980                 0.0
       975                21.7
       955                27.3
       916                29.2
       910                33.0
       909                39.6
       904                49.7
       889                56.0
       877                62.6
       876                68.2
       868                87.9
       862                89.8
       857               103.9
       850               126.3
       834               255.5
       817               393.1
       809              1482.1
       803              3547.4
exec #10
       980                 0.0
       963                 9.0
       936                16.0
       929                23.2
       921                31.0
       906                40.9
       905                45.2
       903                46.1
       881                48.0
       872                53.3
       857                56.1
       841                57.0
       823                83.3
       809               223.5
       799               278.5
       784               491.3
       759              1415.1
       758              2830.0

solutions/BRKGA/R05_15_04_00             785             779             755             778             772             738             725             752             803             758       36014.231
