        UB            Time(s)
exec #1
       916                 0.0
       915                 5.5
exec #2
       916                 0.0
       915                 5.0
exec #3
       916                 0.0
       915                 5.9
exec #4
       916                 0.0
       915                 4.8
exec #5
       916                 0.0
       915                 5.4
exec #6
       916                 0.0
       915                 6.4
exec #7
       916                 0.0
       913                 8.6
exec #8
       916                 0.0
       915                 6.9
exec #9
       916                 0.0
       915                 6.0
exec #10
       916                 0.0
       915                 6.8

solutions/BRKGA/R07_15_01_20             915             915             915             915             915             915             913             915             915             915       36004.455
