        UB            Time(s)
exec #1
       909                 0.0
       908              3404.7
exec #2
       909                 0.0
       908              1375.8
exec #3
       909                 0.0
       908               563.6
exec #4
       909                 0.0
       908                50.1
exec #5
       909                 0.0
       908              1122.8
exec #6
       909                 0.0
       908              2792.7
exec #7
       909                 0.0
       908               278.4
exec #8
       909                 0.0
       908              1499.9
exec #9
       909                 0.0
       908              1852.8
exec #10
       909                 0.0
       908               193.1

solutions/BRKGA/R09_15_05_10             908             908             908             908             908             908             908             908             908             908       36018.086
